segmento,on,nome,presidente,mulher,diretores,mulheres,prop
consumo / varejo,sim,Brf Sa,Abílio Dos Santos Diniz,Homem preside Conselho,10,1,0.10
consumo / varejo,sim,Jbs,Joesley Mendonça Batista,Homem preside Conselho,9,1,0.11
consumo / varejo,sim,Marfrig,Marcos Antonio M. Dos Santos,Homem preside Conselho,9,1,0.11
financeiro / holding / participações,sim,B3,Pedro Pullen Parente,Homem preside Conselho,14,1,0.07
financeiro / holding / participações,sim,General Shopping,Alexandre Poli Venorezi,Homem preside Conselho,8,1,0.13
consumo / varejo,sim,Kroton,Altamiro Belo Galindo,Homem preside Conselho,8,1,0.13
produtivo / industrial,sim,Romi,Américo Emílio Romi Neto,Homem preside Conselho,8,1,0.13
produtivo / industrial,sim,Cpfl Renovaveis,André Dorf,Homem preside Conselho,10,1,0.10
consumo / varejo,sim,Multiplus,Antônio Luiz Rios Da Silva,Homem preside Conselho,7,1,0.14
produtivo / industrial,sim,Lupatech,Carlos Mario Calad Serrano,Homem preside Conselho,5,1,0.20
produtivo / industrial,sim,Alliar,Daniel Rizardi Sorrentino,Homem preside Conselho,11,1,0.09
produtivo / industrial,sim,Log-In,Eduardo De Salles Bartolomeo,Homem preside Conselho,5,1,0.20
consumo / varejo,sim,Cvc Brasil,Guilherme De Jesus Paulus,Homem preside Conselho,6,1,0.17
financeiro / holding / participações,sim,Porto Seguro,Jayme Brasil Garfinkel,Homem preside Conselho,7,1,0.14
consumo / varejo,sim,Rossi Residencial,João Rossi Cuppoloni,Homem preside Conselho,5,1,0.20
produtivo / industrial,sim,Totvs,Laércio José De Lucena Cosentino,Homem preside Conselho,9,1,0.11
produtivo / industrial,sim,Mmx Miner,Pedro De Moraes Borbaeike Fuhrken Batista,Homem preside Conselho,5,1,0.20
consumo / varejo,sim,Cia Hering,Sr. Ivo Hering,Homem preside Conselho,9,1,0.11
produtivo / industrial,sim,Light S/A,Nelson José Hubner Moreira,Homem preside Conselho,11,1,0.09
consumo / varejo,sim,Localiza,Salim Mattar,Homem preside Conselho,8,1,0.13
consumo / varejo,sim,Mrv,Rubens Menin Teixeira De Souza,Homem preside Conselho,7,1,0.14
produtivo / industrial,sim,Embraer,Alexandre Gonçalves Silva,Homem preside Conselho,11,1,0.09
produtivo / industrial,sim,Raiadrogasil,Antonio Carlos Pipponzi,Homem preside Conselho,9,1,0.11
financeiro / holding / participações,sim,Bbseguridade,Marcelo Augusto Dutra Labuto,Homem preside Conselho,6,1,0.17
produtivo / industrial,sim,Mills,Andres Cristian Nacht,Homem preside Conselho,6,1,0.17
consumo / varejo,sim,Lojas Marisa,Márcio Luiz Goldfarb,Homem preside Conselho,6,1,0.17
consumo / varejo,não,Minupar,Antonio Carlos Rago Cano,Homem preside Conselho,5,1,0.20
financeiro / holding / participações,sim,Sao Carlos,Rolando Mifano,Homem preside Conselho,7,1,0.14
produtivo / industrial,sim,Duratex,Salo Davi Seibel,Homem preside Conselho,9,1,0.11
produtivo / industrial,sim,Hermes Pardini,Victor Cavalcanti Pardini (Presidente),Homem preside Conselho,5,1,0.20
financeiro / holding / participações,não,Brc Securit,Carlos Javier Betancourt,Homem preside Conselho,3,1,0.33
financeiro / holding / participações,não,Santander Br,Álvaro Antonio Cardoso De Souza,Homem preside Conselho,9,1,0.11
consumo / varejo,não,Lojas Americ,Carlos Alberto Da Veiga Sicupira,Homem preside Conselho,8,1,0.13
financeiro / holding / participações,não,Bradesco,Làzaro De Melo Brandão,Homem preside Conselho,8,1,0.13
produtivo / industrial,não,Klabin S/A,Daniel Miguel Klabin,Homem preside Conselho,13,1,0.08
produtivo / industrial,não,Vale,Gueitiro Matsuo Genso,Homem preside Conselho,10,1,0.10
