segmento,on,nome,ceo,mulher,diretores,mulheres,prop
produtivo / industrial,sim,Qualicorp,Osé Seripieri Filho,não,2,1,0.50
financeiro / holding / participações,sim,Banco Do Brasil,Paulo Rogério Caffarelli,não,37,1,0.03
produtivo / industrial,sim,Equatorial,Augusto Miranda Da Paz Junior,não,6,1,0.17
produtivo / industrial,sim,Fibria,Marcelo Castelli,não,6,1,0.17
financeiro / holding / participações,sim,Cielo,Eduardo Campozana Gouveia,não,8,1,0.13
financeiro / holding / participações,sim,Br Malls Par,Carlos Medeiros,não,5,1,0.20
produtivo / industrial,sim,Cosan Ltd,Marcos Marinho Lutz,não,5,1,0.20
produtivo / industrial,sim,Cpfl Energia,André Dorf,não,7,1,0.14
produtivo / industrial,sim,Energias Do Brasil,Carlos Emanuel Baptista Andrade,não,5,0,0.00
produtivo / industrial,sim,Sabesp,Jerson Kelman,não,6,0,0.00
consumo / varejo,sim,Smiles,Leonel Dias De Andrade Neto,não,4,0,0.00
produtivo / industrial,sim,Wege3,Harry Schmelzer Jr.,não,13,0,0.00
consumo / varejo,sim,Cyrela Realty,Antonio Carlos Zorzi,não,7,0,0.00
financeiro / holding / participações,sim,Multiplan,José Isaac Peres,não,5,0,0.00
produtivo / industrial,sim,Ecorodovias,Marcelino Rafart De Seras,não,3,0,0.00
produtivo / industrial,sim,Engie Brasil,Eduardo Antonio Gori Sattamini,não,7,0,0.00
produtivo / industrial,sim,Ultrapar,Leocadio De Almeida Antunes Filho,não,7,0,0.00
produtivo / industrial,sim,Rumo Logística,Julio Fontana Neto,não,7,0,0.00
consumo / varejo,sim,Le Lis Blanc (Restoque),Livinston Martins Bauermeister,não,10,5,0.50
financeiro / holding / participações,sim,Iguatemi,Carlos Jereissati,não,5,3,0.60
produtivo / industrial,sim,Fleury,Carlos Alberto Iwata Marinelli,não,8,3,0.38
financeiro / holding / participações,sim,Cyrela Ccp,Pedro Daltro,não,7,2,0.29
produtivo / industrial,sim,Positivo Inf,Hélio Bruck Rotenberg,não,6,2,0.33
produtivo / industrial,sim,Qgep Part,Lincoln Rumenos Guardado,não,3,1,0.33
