year,value,region,index
2000,101.01,BRIC,BCI
2001,99.78,BRIC,BCI
2002,100.16,BRIC,BCI
2003,100.44,BRIC,BCI
2004,101.47,BRIC,BCI
2005,100.94,BRIC,BCI
2006,101.35,BRIC,BCI
2007,101.69,BRIC,BCI
2008,101.07,BRIC,BCI
2009,99.05,BRIC,BCI
2010,101.14,BRIC,BCI
2011,100.60,BRIC,BCI
2012,99.92,BRIC,BCI
2013,99.56,BRIC,BCI
2014,99.09,BRIC,BCI
2015,98.71,BRIC,BCI
2000,100.41,OECD,BCI
2001,99.17,OECD,BCI
2002,99.59,OECD,BCI
2003,99.47,OECD,BCI
2004,100.83,OECD,BCI
2005,100.37,OECD,BCI
2006,100.61,OECD,BCI
2007,100.70,OECD,BCI
2008,99.75,OECD,BCI
2009,97.89,OECD,BCI
2010,100.49,OECD,BCI
2011,100.46,OECD,BCI
2012,99.63,OECD,BCI
2013,99.87,OECD,BCI
2014,100.49,OECD,BCI
2015,100.12,OECD,BCI
2000,6.27,BRIC,GDP
2001,4.96,BRIC,GDP
2002,4.27,BRIC,GDP
2003,7.58,BRIC,GDP
2004,7.55,BRIC,GDP
2005,7.83,BRIC,GDP
2006,8.71,BRIC,GDP
2007,8.57,BRIC,GDP
2008,5.17,BRIC,GDP
2009,4.18,BRIC,GDP
2010,8.89,BRIC,GDP
2011,5.45,BRIC,GDP
2012,4.57,BRIC,GDP
2013,4.83,BRIC,GDP
2014,3.97,BRIC,GDP
2015,1.59,BRIC,GDP
2000,3.95,OECD,GDP
2001,1.38,OECD,GDP
2002,1.58,OECD,GDP
2003,1.98,OECD,GDP
2004,3.20,OECD,GDP
2005,2.65,OECD,GDP
2006,2.99,OECD,GDP
2007,2.60,OECD,GDP
2008,0.21,OECD,GDP
2009,-3.54,OECD,GDP
2010,2.93,OECD,GDP
2011,1.75,OECD,GDP
2012,1.22,OECD,GDP
2013,1.14,OECD,GDP
2014,1.76,OECD,GDP
2015,1.97,OECD,GDP
