ano,bragdp,chngdp,indgdp,oecdgdo,rusgdp,brabci,chnbci,indbci,oecdbci,rusbci
2000,4.11,8.43,3.84,3.95,10.00,101.09,99.59,100.87,100.34,103.14
2001,1.66,8.30,4.82,1.38,5.09,99.53,98.35,99.68,99.04,100.98
2002,3.05,9.09,3.80,1.58,4.74,99.83,101.07,99.85,99.54,99.90
2003,1.14,10.02,7.86,1.98,7.30,99.65,101.76,100.31,99.65,101.15
2004,5.76,10.08,7.92,3.20,7.18,101.51,101.60,101.04,100.83,101.94
2005,3.20,11.35,9.28,2.65,6.38,100.23,100.84,101.11,100.34,101.34
2006,3.96,12.69,9.26,2.99,8.15,100.51,101.12,101.46,100.59,102.76
2007,6.07,14.19,8.61,2.60,8.54,101.88,101.34,101.31,100.65,103.95
2008,5.09,9.62,3.89,0.21,5.25,101.25,98.87,99.87,99.08,101.22
2009,-0.13,9.23,8.48,-3.54,-7.82,99.60,100.15,98.11,97.79,97.12
2010,7.53,10.63,10.26,2.93,4.50,102.24,100.69,100.77,100.48,101.49
2011,3.91,9.48,6.64,1.75,4.26,101.20,99.44,100.26,100.52,102.00
2012,1.92,7.75,5.62,1.22,3.52,100.73,99.06,99.30,99.73,100.35
2013,3.02,7.68,6.64,1.14,1.28,100.77,99.07,98.49,99.99,100.07
2014,0.10,7.27,7.24,1.76,0.71,99.17,99.04,98.99,100.48,100.94
2015,-3.85,6.90,7.57,1.97,-3.73,97.35,98.63,98.77,100.08,101.07
