value,key,date
50000000,BNDES EXIM PRÉ-EMBARQUE,1/1/2011
150000000,BNDES EXIM PRÉ-EMBARQUE,1/1/2010
35000000,BNDES EXIM PRÉ-EMBARQUE,1/1/2010
250000000,BNDES EXIM PRÉ-EMBARQUE,1/1/2009
10000000,BNDES EXIM PRÉ-EMBARQUE,1/1/2009
105755000,BNDES EXIM PRÉ-EMBARQUE,1/1/2008
21962000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
87848000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
70816000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
26556000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
35408000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
53112000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
17704000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
17704000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
26556000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
4426000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
4426000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
13278000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
6639000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
17704000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
8852000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
6639000,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
2274700,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
9098800,BNDES EXIM PRÉ-EMBARQUE,1/1/2006
4000144.25,BNDES EXIM PRÉ-EMBARQUE,1/1/2005
16000577,BNDES EXIM PRÉ-EMBARQUE,1/1/2005
1562139.88,BNDES EXIM PRÉ-EMBARQUE,1/1/2005
6248559.5,BNDES EXIM PRÉ-EMBARQUE,1/1/2005
6100266,BNDES EXIM PRÉ-EMBARQUE,1/1/2005
24401064,BNDES EXIM PRÉ-EMBARQUE,1/1/2005
4639600,BNDES EXIM PRÉ-EMBARQUE,1/1/2005
18558400,BNDES EXIM PRÉ-EMBARQUE,1/1/2005
20337240,BNDES EXIM PRÉ-EMBARQUE,1/1/2005
81348960,BNDES EXIM PRÉ-EMBARQUE,1/1/2005
2465600,BNDES EXIM PRÉ-EMBARQUE,1/1/2005
9862400,BNDES EXIM PRÉ-EMBARQUE,1/1/2005
5745000,BNDES EXIM PRÉ-EMBARQUE,1/1/2004
8617500,BNDES EXIM PRÉ-EMBARQUE,1/1/2004
2323360,BNDES EXIM PRÉ-EMBARQUE,1/1/2004
3485040,BNDES EXIM PRÉ-EMBARQUE,1/1/2004
11153000,BNDES EXIM PRÉ-EMBARQUE,1/1/2003
4431900,BNDES EXIM PRÉ-EMBARQUE,1/1/2003
14709000,BNDES EXIM PRÉ-EMBARQUE,1/1/2003
14556000,BNDES EXIM PRÉ-EMBARQUE,1/1/2003
4343250,BNDES EXIM PRÉ-EMBARQUE,1/1/2003
14298000,BNDES EXIM PRÉ-EMBARQUE,1/1/2003
25746300,BNDES EXIM PRÉ-EMBARQUE,1/1/2003
7502800,BNDES EXIM PRÉ-EMBARQUE,1/1/2002
30011200,BNDES EXIM PRÉ-EMBARQUE,1/1/2002
9024050,BNDES EXIM PRÉ-EMBARQUE,1/1/2002
9296400,BNDES EXIM PRÉ-EMBARQUE,1/1/2002
3746280,BNDES EXIM PRÉ-EMBARQUE,1/1/2002
4619100,BNDES EXIM PRÉ-EMBARQUE,1/1/2002
18846400,BNDES EXIM PRÉ-EMBARQUE,1/1/2002
1212287360,DEBÊNTURES,1/1/2010
2265280512,DEBÊNTURES,1/1/2009
335267808,PARTICIPAÇÃO ACIONÁRIA,1/1/2008
1137006208,PARTICIPAÇÃO ACIONÁRIA,1/1/2007
