ano	valor	n. de contratos	descrição	finalidade	tipo	date
2011	50000000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2011
2010	150000000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2010
2010	35000000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2010
2009	250000000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2009
2009	10000000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2009
2008	105755000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2008
2006	21962000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	87848000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	70816000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	26556000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	35408000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	53112000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	17704000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	17704000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	26556000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	4426000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	4426000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	13278000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	6639000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	17704000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	8852000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	6639000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	2274700	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2006	9098800	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2006
2005	4000144.25	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2005
2005	16000577	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2005
2005	1562139.88	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2005
2005	6248559.5	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2005
2005	6100266	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2005
2005	24401064	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2005
2005	4639600	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2005
2005	18558400	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2005
2005	20337240	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2005
2005	81348960	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2005
2005	2465600	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2005
2005	9862400	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2005
2004	5745000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2004
2004	8617500	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2004
2004	2323360	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2004
2004	3485040	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2004
2003	11153000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2003
2003	4431900	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2003
2003	14709000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2003
2003	14556000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2003
2003	4343250	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2003
2003	14298000	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2003
2003	25746300	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2003
2002	7502800	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2002
2002	30011200	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2002
2002	9024050	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2002
2002	9296400	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2002
2002	3746280	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2002
2002	4619100	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2002
2002	18846400	1	EXIM PRÉ-EMBARQUE	exportação	financiamento	1/1/2002
2016	382200	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	163800	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	78000	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	382200	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	163800	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	78000	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	382200	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	163800	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	78000	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	382200	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	163800	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	78000	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	382200	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	163800	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	78000	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	382200	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	163800	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	78000	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	27930	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	11970	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	5700	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	382200	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	163800	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	78000	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	33320	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	14280	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	6800	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	382200	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	163800	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	78000	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	382200	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	163800	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	78000	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	382200	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	163800	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	78000	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	50960	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	21840	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	10400	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	428750	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	183750	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	87500	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	428750	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	183750	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	87500	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	86100	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	41000	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	200900	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	86100	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	41000	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	80360	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	34440	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	16400	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	200900	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	200900	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	86100	1	FINAME	produção / maquinário	financiamento	1/1/2016
2016	41000	1	FINAME	produção / maquinário	financiamento	1/1/2016
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	482451.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	386048.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	469953	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	376047	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	90490.95	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	72409.05	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	93990.6	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	75209.4	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	469953	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	376047	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	482451.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	386048.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	482451.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	386048.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	482451.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	386048.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	452454.75	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	362045.25	1	FINAME	produção / maquinário	financiamento	1/1/2015
2015	180981.91	1	FINAME	produção / maquinário	financiamento	1/1/2015
