country	date	index	value
Brazil	2000-05	100.9	0.9
Brazil	2000-06	101.2	1.2
Brazil	2000-07	101.4	1.4
Brazil	2000-08	101.3	1.3
Brazil	2000-09	101.1	1.1
Brazil	2000-10	101.0	1.0
Brazil	2000-11	100.9	0.9
Brazil	2000-12	101.0	1.0
Brazil	2001-01	101.0	1.0
Brazil	2001-02	100.9	0.9
Brazil	2001-03	100.7	0.7
Brazil	2001-04	100.3	0.3
Brazil	2001-05	99.8	-0.2
Brazil	2001-06	99.3	-0.7
Brazil	2001-07	98.8	-1.2
Brazil	2001-08	98.5	-1.5
Brazil	2001-09	98.3	-1.7
Brazil	2001-10	98.4	-1.6
Brazil	2001-11	98.8	-1.2
Brazil	2001-12	99.5	-0.5
Brazil	2002-01	100.1	0.1
Brazil	2002-02	100.3	0.3
Brazil	2002-03	100.3	0.3
Brazil	2002-04	100.1	0.1
Brazil	2002-05	99.7	-0.3
Brazil	2002-06	99.4	-0.6
Brazil	2002-07	99.2	-0.8
Brazil	2002-08	99.2	-0.8
Brazil	2002-09	99.5	-0.5
Brazil	2002-10	99.8	-0.2
Brazil	2002-11	100.1	0.1
Brazil	2002-12	100.4	0.4
Brazil	2003-01	100.6	0.6
Brazil	2003-02	100.4	0.4
Brazil	2003-03	100.0	0.0
Brazil	2003-04	99.4	-0.6
Brazil	2003-05	98.8	-1.2
Brazil	2003-06	98.4	-1.6
Brazil	2003-07	98.3	-1.7
Brazil	2003-08	98.7	-1.3
Brazil	2003-09	99.4	-0.6
Brazil	2003-10	100.2	0.2
Brazil	2003-11	100.7	0.7
Brazil	2003-12	101.0	1.0
Brazil	2004-01	101.2	1.2
Brazil	2004-02	101.2	1.2
Brazil	2004-03	101.1	1.1
Brazil	2004-04	101.1	1.1
Brazil	2004-05	101.2	1.2
Brazil	2004-06	101.4	1.4
Brazil	2004-07	101.6	1.6
Brazil	2004-08	101.8	1.8
Brazil	2004-09	101.9	1.9
Brazil	2004-10	102.0	2.0
Brazil	2004-11	101.9	1.9
Brazil	2004-12	101.6	1.6
Brazil	2005-01	101.4	1.4
Brazil	2005-02	101.1	1.1
Brazil	2005-03	100.8	0.8
Brazil	2005-04	100.4	0.4
Brazil	2005-05	100.1	0.1
Brazil	2005-06	99.9	-0.1
Brazil	2005-07	99.7	-0.3
Brazil	2005-08	99.7	-0.3
Brazil	2005-09	99.7	-0.3
Brazil	2005-10	99.8	-0.2
Brazil	2005-11	100.0	0.0
Brazil	2005-12	100.2	0.2
Brazil	2006-01	100.4	0.4
Brazil	2006-02	100.5	0.5
Brazil	2006-03	100.5	0.5
Brazil	2006-04	100.5	0.5
Brazil	2006-05	100.4	0.4
Brazil	2006-06	100.3	0.3
Brazil	2006-07	100.3	0.3
Brazil	2006-08	100.3	0.3
Brazil	2006-09	100.4	0.4
Brazil	2006-10	100.6	0.6
Brazil	2006-11	100.8	0.8
Brazil	2006-12	101.0	1.0
Brazil	2007-01	101.2	1.2
Brazil	2007-02	101.4	1.4
Brazil	2007-03	101.6	1.6
Brazil	2007-04	101.7	1.7
Brazil	2007-05	101.8	1.8
Brazil	2007-06	101.8	1.8
Brazil	2007-07	101.9	1.9
Brazil	2007-08	102.0	2.0
Brazil	2007-09	102.2	2.2
Brazil	2007-10	102.3	2.3
Brazil	2007-11	102.4	2.4
Brazil	2007-12	102.4	2.4
Brazil	2008-01	102.3	2.3
Brazil	2008-02	102.2	2.2
Brazil	2008-03	102.0	2.0
Brazil	2008-04	102.0	2.0
Brazil	2008-05	102.1	2.1
Brazil	2008-06	102.2	2.2
Brazil	2008-07	102.3	2.3
Brazil	2008-08	102.1	2.1
Brazil	2008-09	101.5	1.5
Brazil	2008-10	100.2	0.2
Brazil	2008-11	98.6	-1.4
Brazil	2008-12	97.5	-2.5
Brazil	2009-01	97.0	-3.0
Brazil	2009-02	97.1	-2.9
Brazil	2009-03	97.5	-2.5
Brazil	2009-04	98.1	-1.9
Brazil	2009-05	98.7	-1.3
Brazil	2009-06	99.4	-0.6
Brazil	2009-07	100.0	0.0
Brazil	2009-08	100.6	0.6
Brazil	2009-09	101.1	1.1
Brazil	2009-10	101.6	1.6
Brazil	2009-11	101.9	1.9
Brazil	2009-12	102.1	2.1
Brazil	2010-01	102.2	2.2
Brazil	2010-02	102.4	2.4
Brazil	2010-03	102.4	2.4
Brazil	2010-04	102.5	2.5
Brazil	2010-05	102.4	2.4
Brazil	2010-06	102.3	2.3
Brazil	2010-07	102.2	2.2
Brazil	2010-08	102.2	2.2
Brazil	2010-09	102.2	2.2
Brazil	2010-10	102.1	2.1
Brazil	2010-11	102.0	2.0
Brazil	2010-12	102.0	2.0
Brazil	2011-01	101.9	1.9
Brazil	2011-02	101.9	1.9
Brazil	2011-03	101.9	1.9
Brazil	2011-04	101.8	1.8
Brazil	2011-05	101.7	1.7
Brazil	2011-06	101.4	1.4
Brazil	2011-07	101.0	1.0
Brazil	2011-08	100.7	0.7
Brazil	2011-09	100.5	0.5
Brazil	2011-10	100.5	0.5
Brazil	2011-11	100.5	0.5
Brazil	2011-12	100.6	0.6
Brazil	2012-01	100.6	0.6
Brazil	2012-02	100.6	0.6
Brazil	2012-03	100.5	0.5
Brazil	2012-04	100.5	0.5
Brazil	2012-05	100.5	0.5
Brazil	2012-06	100.5	0.5
Brazil	2012-07	100.6	0.6
Brazil	2012-08	100.8	0.8
Brazil	2012-09	100.9	0.9
Brazil	2012-10	101.0	1.0
Brazil	2012-11	101.1	1.1
Brazil	2012-12	101.1	1.1
Brazil	2013-01	101.1	1.1
Brazil	2013-02	101.1	1.1
Brazil	2013-03	101.1	1.1
Brazil	2013-04	101.1	1.1
Brazil	2013-05	101.1	1.1
Brazil	2013-06	101.0	1.0
Brazil	2013-07	100.8	0.8
Brazil	2013-08	100.6	0.6
Brazil	2013-09	100.5	0.5
Brazil	2013-10	100.4	0.4
Brazil	2013-11	100.3	0.3
Brazil	2013-12	100.3	0.3
Brazil	2014-01	100.2	0.2
Brazil	2014-02	100.1	0.1
Brazil	2014-03	99.9	-0.1
Brazil	2014-04	99.7	-0.3
Brazil	2014-05	99.4	-0.6
Brazil	2014-06	99.0	-1.0
Brazil	2014-07	98.8	-1.2
Brazil	2014-08	98.6	-1.4
Brazil	2014-09	98.6	-1.4
