Instituição,Cod.IBGE,UF,PODER,População,Conta,Valor
Governo do Estado do Acre,12,AC,Executivo,803513,RECEITA CORRENTE LIQUIDA - RCL (IV),3906065810.2
Governo do Estado do Acre,12,AC,Executivo,803513,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",1818273634.7
Governo do Estado do Acre,12,AC,Executivo,803513,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",1913972247.0
Governo do Estado do Acre,12,AC,Executivo,803513,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",1722575022.3
Governo do Estado do Acre,12,AC,Executivo,803513,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),1976127200.7
Governo do Estado de Alagoas,27,AL,Executivo,3340932,RECEITA CORRENTE LIQUIDA - RCL (IV),6340972892.2
Governo do Estado de Alagoas,27,AL,Executivo,3340932,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",2951722881.3
Governo do Estado de Alagoas,27,AL,Executivo,3340932,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",3107076717.2
Governo do Estado de Alagoas,27,AL,Executivo,3340932,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",2796369045.5
Governo do Estado de Alagoas,27,AL,Executivo,3340932,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),3078738643.4
Governo do Estado do Amazonas,13,AM,Executivo,3938336,RECEITA CORRENTE LIQUIDA - RCL (IV),10622700546.6
Governo do Estado do Amazonas,13,AM,Executivo,3938336,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",4944867104.5
Governo do Estado do Amazonas,13,AM,Executivo,3938336,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",5205123267.9
Governo do Estado do Amazonas,13,AM,Executivo,3938336,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",4684610941.1
Governo do Estado do Amazonas,13,AM,Executivo,3938336,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),5193908202.1
Governo do Estado do Amapá,16,AP,Executivo,766679,RECEITA CORRENTE LIQUIDA - RCL (IV),3827160251.3
Governo do Estado do Amapá,16,AP,Executivo,766679,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",1781543097.0
Governo do Estado do Amapá,16,AP,Executivo,766679,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",1875308523.1
Governo do Estado do Amapá,16,AP,Executivo,766679,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",1687777670.8
Governo do Estado do Amapá,16,AP,Executivo,766679,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),1632292869.5
Governo do Estado da Bahia,29,BA,Executivo,15203934,RECEITA CORRENTE LIQUIDA - RCL (IV),27329461677.0
Governo do Estado da Bahia,29,BA,Executivo,15203934,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",12618012456.3
Governo do Estado da Bahia,29,BA,Executivo,15203934,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",13282118375.0
Governo do Estado da Bahia,29,BA,Executivo,15203934,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",11953906537.5
Governo do Estado da Bahia,29,BA,Executivo,15203934,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),13194322737.1
Governo do Estado do Ceará,23,CE,Executivo,8904459,RECEITA CORRENTE LIQUIDA - RCL (IV),15573029856.0
Governo do Estado do Ceará,23,CE,Executivo,8904459,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",7190067884.5
Governo do Estado do Ceará,23,CE,Executivo,8904459,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",7568492510.0
Governo do Estado do Ceará,23,CE,Executivo,8904459,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",6811643259.0
Governo do Estado do Ceará,23,CE,Executivo,8904459,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),6892779827.0
Governo do Distrito Federal,53,DF,Executivo,2914830,RECEITA CORRENTE LIQUIDA - RCL (IV),18891180516.5
Governo do Distrito Federal,53,DF,Executivo,2914830,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",8793844530.4
Governo do Distrito Federal,53,DF,Executivo,2914830,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",9256678453.1
Governo do Distrito Federal,53,DF,Executivo,2914830,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",8331010607.8
Governo do Distrito Federal,53,DF,Executivo,2914830,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),8893655744.9
Governo do Estado do Espírito Santo,32,ES,Executivo,3929911,RECEITA CORRENTE LIQUIDA - RCL (IV),11887670740.1
Governo do Estado do Espírito Santo,32,ES,Executivo,3929911,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",5533710729.5
Governo do Estado do Espírito Santo,32,ES,Executivo,3929911,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",5824958662.7
Governo do Estado do Espírito Santo,32,ES,Executivo,3929911,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",5242462796.4
Governo do Estado do Espírito Santo,32,ES,Executivo,3929911,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),5172047357.0
Governo do Estado de Goiás,52,GO,Executivo,6610681,RECEITA CORRENTE LIQUIDA - RCL (IV),17908053634.5
Governo do Estado de Goiás,52,GO,Executivo,6610681,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",8268148363.0
Governo do Estado de Goiás,52,GO,Executivo,6610681,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",8703314066.4
Governo do Estado de Goiás,52,GO,Executivo,6610681,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",7832982659.7
Governo do Estado de Goiás,52,GO,Executivo,6610681,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),8605924188.6
Governo do Estado do Maranhão,21,MA,Executivo,6904241,RECEITA CORRENTE LIQUIDA - RCL (IV),10802513622.5
Governo do Estado do Maranhão,21,MA,Executivo,6904241,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",5028570091.3
Governo do Estado do Maranhão,21,MA,Executivo,6904241,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",5293231675.0
Governo do Estado do Maranhão,21,MA,Executivo,6904241,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",4763908507.5
Governo do Estado do Maranhão,21,MA,Executivo,6904241,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),4817477771.2
Governo do Estado de Minas Gerais,31,MG,Executivo,20869101,RECEITA CORRENTE LIQUIDA - RCL (IV),52887513009.4
Governo do Estado de Minas Gerais,31,MG,Executivo,20869101,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",24619137305.9
Governo do Estado de Minas Gerais,31,MG,Executivo,20869101,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",25914881374.6
Governo do Estado de Minas Gerais,31,MG,Executivo,20869101,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",23323393237.2
Governo do Estado de Minas Gerais,31,MG,Executivo,20869101,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),25235179474.2
Governo do Estado do Mato Grosso,51,MT,Executivo,3265486,RECEITA CORRENTE LIQUIDA - RCL (IV),12209085734.5
Governo do Estado do Mato Grosso,51,MT,Executivo,3265486,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",5683329409.4
Governo do Estado do Mato Grosso,51,MT,Executivo,3265486,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",5982452009.9
Governo do Estado do Mato Grosso,51,MT,Executivo,3265486,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",5384206808.9
Governo do Estado do Mato Grosso,51,MT,Executivo,3265486,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),6161249139.6
Governo do Estado do Pará,15,PA,Executivo,8175113,RECEITA CORRENTE LIQUIDA - RCL (IV),17159995483.0
Governo do Estado do Pará,15,PA,Executivo,8175113,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",7922769914.5
Governo do Estado do Pará,15,PA,Executivo,8175113,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",8339757804.7
Governo do Estado do Pará,15,PA,Executivo,8175113,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",7505782024.3
Governo do Estado do Pará,15,PA,Executivo,8175113,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),7983561359.8
Governo do Estado da Paraíba,25,PB,Executivo,3972202,RECEITA CORRENTE LIQUIDA - RCL (IV),7952572998.4
Governo do Estado da Paraíba,25,PB,Executivo,3972202,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",3701922730.8
Governo do Estado da Paraíba,25,PB,Executivo,3972202,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",3896760769.2
Governo do Estado da Paraíba,25,PB,Executivo,3972202,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",3507084692.3
Governo do Estado da Paraíba,25,PB,Executivo,3972202,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),4148786022.0
Governo do Estado de Pernambuco,26,PE,Executivo,9345173,RECEITA CORRENTE LIQUIDA - RCL (IV),19727049222.7
Governo do Estado de Pernambuco,26,PE,Executivo,9345173,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",9182941413.2
Governo do Estado de Pernambuco,26,PE,Executivo,9345173,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",9666254119.1
Governo do Estado de Pernambuco,26,PE,Executivo,9345173,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",8699628707.2
Governo do Estado de Pernambuco,26,PE,Executivo,9345173,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),9296372693.6
Governo do Estado do Piauí,22,PI,Executivo,3204028,RECEITA CORRENTE LIQUIDA - RCL (IV),6689897326.2
Governo do Estado do Piauí,22,PI,Executivo,3204028,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",3114147205.3
Governo do Estado do Piauí,22,PI,Executivo,3204028,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",3278049689.8
Governo do Estado do Piauí,22,PI,Executivo,3204028,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",2950244720.8
Governo do Estado do Piauí,22,PI,Executivo,3204028,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),3158800003.2
Governo do Estado do Paraná,41,PR,Executivo,11163018,RECEITA CORRENTE LIQUIDA - RCL (IV),33316002510.4
Governo do Estado do Paraná,41,PR,Executivo,11163018,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",15508599168.6
Governo do Estado do Paraná,41,PR,Executivo,11163018,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",16324841230.1
Governo do Estado do Paraná,41,PR,Executivo,11163018,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",14692357107.1
Governo do Estado do Paraná,41,PR,Executivo,11163018,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),14751464083.1
Governo do Estado do Rio de Janeiro,33,RJ,Executivo,16550024,RECEITA CORRENTE LIQUIDA - RCL (IV),49131341507.0
Governo do Estado do Rio de Janeiro,33,RJ,Executivo,16550024,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",22870639471.5
Governo do Estado do Rio de Janeiro,33,RJ,Executivo,16550024,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",24074357338.4
Governo do Estado do Rio de Janeiro,33,RJ,Executivo,16550024,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",21666921604.6
Governo do Estado do Rio de Janeiro,33,RJ,Executivo,16550024,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),19547025554.6
Governo do Estado do Rio Grande do Norte,24,RN,Executivo,3442175,RECEITA CORRENTE LIQUIDA - RCL (IV),8036936741.0
Governo do Estado do Rio Grande do Norte,24,RN,Executivo,3442175,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",3741194053.0
Governo do Estado do Rio Grande do Norte,24,RN,Executivo,3442175,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",3938099003.1
Governo do Estado do Rio Grande do Norte,24,RN,Executivo,3442175,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",3544289102.8
Governo do Estado do Rio Grande do Norte,24,RN,Executivo,3442175,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),4135012774.8
Governo do Estado de Rondônia,11,RO,Executivo,1768204,RECEITA CORRENTE LIQUIDA - RCL (IV),5882366543.2
Governo do Estado de Rondônia,11,RO,Executivo,1768204,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)",2738241625.9
Governo do Estado de Rondônia,11,RO,Executivo,1768204,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)",2882359606.2
Governo do Estado de Rondônia,11,RO,Executivo,1768204,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)",2594123645.6
Governo do Estado de Rondônia,11,RO,Executivo,1768204,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),2623928168.7
