Instituição,Cod.IBGE,UF,PODER,População,Conta,Valor
Governo do Estado do Acre,12,AC,Executivo,803513,RECEITA CORRENTE LIQUIDA - RCL (IV),"3,906,065,810.23"
Governo do Estado do Acre,12,AC,Executivo,803513,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","1,818,273,634.66"
Governo do Estado do Acre,12,AC,Executivo,803513,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","1,913,972,247.01"
Governo do Estado do Acre,12,AC,Executivo,803513,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","1,722,575,022.31"
Governo do Estado do Acre,12,AC,Executivo,803513,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"1,976,127,200.72"
Governo do Estado de Alagoas,27,AL,Executivo,3340932,RECEITA CORRENTE LIQUIDA - RCL (IV),"6,340,972,892.20"
Governo do Estado de Alagoas,27,AL,Executivo,3340932,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","2,951,722,881.32"
Governo do Estado de Alagoas,27,AL,Executivo,3340932,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","3,107,076,717.18"
Governo do Estado de Alagoas,27,AL,Executivo,3340932,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","2,796,369,045.46"
Governo do Estado de Alagoas,27,AL,Executivo,3340932,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"3,078,738,643.40"
Governo do Estado do Amazonas,13,AM,Executivo,3938336,RECEITA CORRENTE LIQUIDA - RCL (IV),"10,622,700,546.63"
Governo do Estado do Amazonas,13,AM,Executivo,3938336,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)","4,944,867,104.46"
Governo do Estado do Amazonas,13,AM,Executivo,3938336,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)","5,205,123,267.85"
Governo do Estado do Amazonas,13,AM,Executivo,3938336,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)","4,684,610,941.07"
Governo do Estado do Amazonas,13,AM,Executivo,3938336,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),"5,193,908,202.12"
