UF,2015(a),2016(b),2016(c),variacao,rating
AC,0.97,0.86,0.79,-0.07,C
AL,1.7,1.65,1.18,-0.47,C-
AM,0.48,0.46,0.45,-0.01,B-
AP,0.27,0.31,0.20,-0.11,B-
BA,0.59,0.54,0.53,-0.01,B-
CE,0.63,0.5,0.46,-0.04,B-
DF,0.25,0.25,0.25,0.00,B-
ES,0.31,0.26,0.25,-0.01,B
GO,0.99,0.76,1.01,0.25,D+
MA,0.6,0.47,0.39,-0.08,B-
MG,1.99,1.88,1.85,-0.03,D
MS,0.94,0.83,0.75,-0.08,C-
MT,0.49,0.39,0.35,-0.04,B-
PA,0.12,0.09,0.08,-0.01,B+
PB,0.41,0.35,0.33,-0.02,C+
PE,0.62,0.58,0.55,-0.03,B-
PI,0.57,0.46,0.44,-0.02,C+
PR,0.49,0.4,0.34,-0.06,B-
RJ,1.98,1.99,2.02,0.03,D
RN,0.09,0.08,0.05,-0.03,C+
RO,0.61,0.58,0.53,-0.05,B-
RR,0.12,0.17,0.33,0.16,B
RS,2.27,2.18,2.11,-0.07,D
SC,0.53,0.41,0.45,0.04,C
SE,0.69,0.65,0.65,0.00,C+
SP,1.68,1.63,1.70,0.07,C-
TO,0.4,0.35,0.32,-0.03,B-
Média,0.77,0.71,0.68,-0.03,-
