empresa,financiado,total,setor
Hypermarcas S.A.,290671128.0,322967920.0,varejo
Telecomunicações Brasileiras S.A.,240379564.9,270393211.3,tecnologia/telecom
B2W - Companhia Digital,231166598.4,288958248.0,varejo
Stara S.A. Indústria De Implementos agrícola/ambientals,206392900.0,294847000.0,agrícola/ambiental
Jari Celulose, Papel E Embalagens S/A,206309526.5,448987000.0,celulose
Granbio Investimentos S/A,186877254.6,445794977.6,energia
Mahle Metal Leve S.A,182336000.0,284900000.0,automotivo
Light Serviços De Eletricidade S.A,174182400.0,204800000.0,energia
Sotreq S.A.,174071394.7,248673421.0,automacão/maquinário
Bionovis S.A. - Companhia Brasileira De Biotecnologia Farmacêutica,170532431.2,189480479.1,saúde
Marcopolo S/A.,168950677.6,211188347.0,automotivo
Rede D’or São Luiz S.A.,168488100.0,187209000.0,saúde
Cielo Sa,159768982.9,195078123.2,financeiro
Fleury S.A.,155443533.4,201477975.1,saúde
Eurofarma Laboratórios S/A,144895050.0,160994500.0,saúde
It2B Tecnologia E Serviços Ltda.,139663636.8,190018553.5,serviços
Intelbras S.A - Indústria De Telecomunicação Eletrônica Brasileira,135831034.0,150923371.1,tecnologia/telecom
Biolab Sanus Farmacêutica Ltda,125782470.0,139758300.0,saúde
Sjc Bioenergia Ltda,112000000.0,160000000.0,energia
Stemac S/A Grupos Geradores,107476702.2,119418558.0,energia
Ouro Fino Saúde Animal Ltda,106934549.9,128945556.4,agrícola/ambiental
Jbs S.A.,101331611.3,112590679.2,alimentos
Farmoquimica S.A.,92125499.7,102509736.0,químico/petroquímico
Mmc Automotores Do Brasil Ltda,91832019.1,108857301.0,automotivo
Edeniq Brasil Importação E Comércio De Produtos E Serviços Ltda,89382647.2,127689496.0,energia
Universo Online S/A,89033015.7,98925573.0,tecnologia/telecom
Tecumseh Do Brasil Ltda,82475114.4,117821592.0,automacão/maquinário
Cecrisa Revestimentos Cerâmicos S/A,79561103.6,126488241.0,construção
Companhia Brasileira De Alumínio,71046000.0,93320000.0,metais/siderurgia
Agroceres Multimix Nutrição Animal Ltda,70746988.4,83231751.0,agrícola/ambiental
Oceanica Engenharia E Consultoria Ltda,70620458.2,78467175.8,construção
Essencis Soluções Ambientais S/A,68497388.3,76108209.3,agrícola/ambiental
Votorantim Metais Zinco S.A.,67790000.0,90600000.0,metais/siderurgia
Multilaser Industrial S A,67019946.2,74466606.9,tecnologia/telecom
Limagrain Guerra Do Brasil S.A.,66933723.5,74370803.8,agrícola/ambiental
Fb Participações Ltda.,65988475.6,143110985.9,alimentos
Positivo Informática S/A,63808800.0,79761000.0,tecnologia/telecom
Libra Terminal Rio S/A,62027453.8,68919393.1,logística
Detroit Brasil Ltda.,61852732.6,77315915.7,logística
Duas Rodas Industrial Ltda,61275208.0,72080000.0,alimentos
Construteckma Engenharia Ltda.,59805450.0,66450500.0,construção
São Salvador Alimentos S/A,59312902.2,69977468.4,alimentos
Unicoba Holding Sa,57856925.9,72321157.4,automação/maquinário
Portobello S/A,57319500.0,81885000.0,construção
Scorpios Industria Metalurgica Ltda,55406333.6,69257917.0,metais/siderurgia
Etesco Construções E Comércio Ltda,50114460.8,105504128.0,construção
Tramontina Farroupilha S/A Indústria Metalúrgica,49730769.4,56512238.0,metais/siderurgia
Docol Metais Sanitários Ltda,49506770.3,70723957.6,construção
Mausa S.A. Equipamentos Industriais,48778926.1,54198806.7,automacão/maquinário
Movile Internet Móvel Sa,45150000.0,64500000.0,tecnologia/telecom
Magazine Luiza S/A,44968000.0,51100000.0,varejo
Locaweb Serviços De Internet Sa,44895415.1,56119268.9,tecnologia/telecom
Produquímica Indústria E Comércio S.A.,44673883.1,55842353.9,químico/petroquímico
Arezzo Indústria E Comércio S/A,43360896.0,54201120.0,varejo
Votorantim Metais S.A.,43320000.0,57600000.0,metais/siderurgia
Lojas Americanas S.A.,42890988.7,61272841.0,varejo
Agrale Sociedade Anonima,42688800.0,60984000.0,automotivo
Copelmi Mineração Ltda,42083507.5,70139179.2,mineração
Aché Laboratórios Farmacêuticos S.A.,41467500.0,46075000.0,saúde
Resource Tecnologia E Informática Ltda.,39912583.6,44347315.1,tecnologia/telecom
Magnesita Refratários S/A,38037924.5,42676904.0,metais/siderurgia
Agn Agroindustrial E Biocombustiveis Ltda,37198047.2,41576000.0,energia
Titans Group Empresa De Participação Em Negócios Ltda,37006647.7,41118497.4,tecnologia/telecom
Cerradinho Bioenergia S.A.,36529808.0,52185440.0,energia
Saint-Gobain Do Brasil Prod Ind E P Constr Ltda,36400000.0,52000000.0,construção
Lifemed Industrial De Equipamentos E Artigos Medicos E Hospitalares S/A,36083200.0,45104000.0,saúde
Artecola Química S/A,35182678.5,39091865.0,química/petroquímica
Stoller Do Brasil Ltda,35004605.8,43755757.3,agrícola/ambiental
Flowserve Do Brasil Ltda.,34991828.8,49988326.8,automação/maquinário
Aeris Indústria E Comércio De Equipamentos Para Geração De Energia S/A,34822200.0,58037000.0,automação/maquinário
Mineração Floresta Sa,32895000.0,36550000.0,mineração
Kepler Weber Industrial S.A,32811937.5,42475000.0,automação/maquinário
Ouro Fino Química Ltda,31920209.5,36372162.2,química/petroquímica
Tigre S.A - Tubos E Conexões,31265500.0,44665000.0,construção
Uvr Grajau S/A,31190332.0,35646093.7,construção
Ciferal Indústria De Ônibus Ltda,28875846.6,32084274.0,automotivo
Incepa Revestimentos Ceramicos Ltda,28542000.0,57084000.0,construção
Fmc Química Do Brasil Ltda.,28014163.1,40020233.0,química/petroquímica
Bemisa - Brasil Exploração Mineral S/A,27961500.0,31440000.0,mineração
Medabil Sistemas Construtivos S/A,27841445.1,30934939.0,automação/maquinário
Tgm Indústria E Comércio De Turbinas E Transmissões Ltda.,27537300.0,30597000.0,energia
Centrais Elétricas Do Norte Do Brasil S.A.,27460740.8,34325926.0,energia
Geosol Geologia E Sondagens S/A,27407829.6,30453144.0,mineração
Cordoaria São Leopoldo Original Ltda.,26660953.9,29956128.0,outro
Fundação Cpqd Centro De Pesquisa E Desenvolvimento Em Telecomunicações,23940000.0,27530232.6,tecnologia/telecom
Módulo Security Solutions S.A,23627957.1,47255914.2,tecnologia/telecom
Hertape Calier Saude Animal S.A.,23400000.0,26000000.0,saúde
Chemyunion Química Ltda,23103475.7,25670528.6,química/petroquímica
Solvi Participações S.A.,22022122.2,35134209.0,construção
Contern Construções E Comércio Ltda,21916656.0,27395820.0,construção
Iochpe Maxion S/A,21882000.0,31260000.0,metais/siderurgia
Sempre Sementes Eireli,20957334.5,29939049.3,agrícola/ambiental
Landis+Gyr Equipamentos De Medição Ltda.,20541854.4,25677318.0,tecnologia/telecom
Agrichem Do Brasil S.A,17952300.0,19947000.0,agrícola/ambiental
Indústrias Romi S.A.,17647273.8,19608082.0,automacão/maquinário
Laborvida Laboratórios Farmacêuticos Ltda.,17446311.0,24923301.5,saúde
Policard Systems E Serviços S/A,17421797.7,19357553.0,financeiro
Soprano Eletrometalúrgica E Hidráulica Ltda,17193115.5,26050175.0,metais/siderurgia
Mdt Industria Comercio Imp Exp De Implantes S.A,16295739.6,18106377.3,saúde
Lef Pisos E Revestimentos Ltda,16255407.6,34890336.0,construção
Cooperativa Dos Suinocultores De Encantado Ltda,16042644.0,17825160.0,veterinária
Farmabase Saúde Animal Ltda.,15831721.1,20757468.4,saúde
Seleon Biotecnologia Animal Ltda,15608164.0,17342404.5,saúde
Brasilata Embalagens Metálicas S/A,15408324.9,17120361.0,metais/siderurgia
Vinícola Salton S.A.,15301303.7,17001448.5,bebidas
Condor S/A,15213330.4,24010938.2,automacão/maquinário
Odebrecht Ambiental S.A.,15148462.5,31041931.3,construção
Recepta Biopharma S.A.,14733597.9,26207040.0,saúde
Parati Sa,14669944.0,18337430.0,alimentos
Elektro Eletricidade E Serviços S.A.,14627363.5,18565000.0,energia
Nidera Sementes Ltda.,14525889.1,16139876.7,agrícola/ambiental
Bramex Comércio E Serviços Ltda.,14202186.6,23670311.0,outros
Rôgga S.A. Construtora E Incorporadora,14054681.0,17568351.2,construção
R2 Soluções Em Radiofarmacia Ltda,13783908.6,15315454.0,saúde
Tdb Textil S/A,13769563.9,15299515.4,vestuário
Companhia Nitro Quimica Brasileira,12836463.3,16045579.2,químico/petroquímico
Rodotécnica Indústria De Implementos Rodoviários Ltda.,12416772.9,26418665.7,automotivo
