pais,ano,ocorrencia,investimento,indicador
Coreia do Sul,1982,Sem Olimpíada,16.4,alta dos investimentos em %
Coreia do Sul,1983,Sem Olimpíada,19.2,alta dos investimentos em %
Coreia do Sul,1984,Sem Olimpíada,3.6,alta dos investimentos em %
Coreia do Sul,1985,Sem Olimpíada,10,alta dos investimentos em %
Coreia do Sul,1986,Sem Olimpíada,13.1,alta dos investimentos em %
Coreia do Sul,1987,Sem Olimpíada,21.7,alta dos investimentos em %
Coreia do Sul,1988,Olimpíada,23.3,alta dos investimentos em %
Coreia do Sul,1989,Sem Olimpíada,21.3,alta dos investimentos em %
Coreia do Sul,1990,Sem Olimpíada,34.2,alta dos investimentos em %
Barcelona,1989,Sem Olimpíada,17.9,alta dos investimentos em %
Barcelona,1990,Sem Olimpíada,12.1,alta dos investimentos em %
Barcelona,1991,Sem Olimpíada,6.3,alta dos investimentos em %
Barcelona,1992,Olimpíada,-9.4,alta dos investimentos em %
Barcelona,1993,Sem Olimpíada,-7.7,alta dos investimentos em %
Barcelona,1994,Sem Olimpíada,7.3,alta dos investimentos em %
Atlanta,1993,Sem Olimpíada,7.7,alta dos investimentos em %
Atlanta,1994,Sem Olimpíada,12.5,alta dos investimentos em %
Atlanta,1995,Sem Olimpíada,4.5,alta dos investimentos em %
Atlanta,1996,Olimpíada,7.8,alta dos investimentos em %
Atlanta,1997,Sem Olimpíada,10.6,alta dos investimentos em %
Atlanta,1998,Sem Olimpíada,7.9,alta dos investimentos em %
Sidney,1994,Sem Olimpíada,12.9,alta dos investimentos em %
Sidney,1995,Sem Olimpíada,2.6,alta dos investimentos em %
Sidney,1996,Sem Olimpíada,6,alta dos investimentos em %
Sidney,1997,Sem Olimpíada,3.2,alta dos investimentos em %
Sidney,1998,Sem Olimpíada,14.1,alta dos investimentos em %
Sidney,1999,Sem Olimpíada,7.5,alta dos investimentos em %
Sidney,2000,Olimpíada,1.3,alta dos investimentos em %
Sidney,2001,Sem Olimpíada,-1.3,alta dos investimentos em %
Sidney,2002,Sem Olimpíada,15.3,alta dos investimentos em %
Atenas,2002,Sem Olimpíada,7.5,alta dos investimentos em %
Atenas,2003,Sem Olimpíada,9.1,alta dos investimentos em %
Atenas,2004,Olimpíada,7.7,alta dos investimentos em %
Atenas,2005,Sem Olimpíada,7.7,alta dos investimentos em %
Atenas,2006,Sem Olimpíada,7.7,alta dos investimentos em %
Coreia do Sul,1982,Sem Olimpíada,14.8,crescimento do PIB em %
Coreia do Sul,1983,Sem Olimpíada,17.5,crescimento do PIB em %
Coreia do Sul,1984,Sem Olimpíada,14.2,crescimento do PIB em %
Coreia do Sul,1985,Sem Olimpíada,11.4,crescimento do PIB em %
Coreia do Sul,1986,Sem Olimpíada,16.7,crescimento do PIB em %
Coreia do Sul,1987,Sem Olimpíada,17.2,crescimento do PIB em %
Coreia do Sul,1988,Olimpíada,18.8,crescimento do PIB em %
Coreia do Sul,1989,Sem Olimpíada,12.2,crescimento do PIB em %
Coreia do Sul,1990,Sem Olimpíada,20.6,crescimento do PIB em %
Barcelona,1989,Sem Olimpíada,12.1,crescimento do PIB em %
Barcelona,1990,Sem Olimpíada,11.4,crescimento do PIB em %
Barcelona,1991,Sem Olimpíada,9.7,crescimento do PIB em %
Barcelona,1992,Olimpíada,7.7,crescimento do PIB em %
Barcelona,1993,Sem Olimpíada,2.5,crescimento do PIB em %
Barcelona,1994,Sem Olimpíada,6.4,crescimento do PIB em %
Atlanta,1993,Sem Olimpíada,5,crescimento do PIB em %
Atlanta,1994,Sem Olimpíada,6.2,crescimento do PIB em %
Atlanta,1995,Sem Olimpíada,4.6,crescimento do PIB em %
Atlanta,1996,Olimpíada,5.7,crescimento do PIB em %
Atlanta,1997,Sem Olimpíada,6.2,crescimento do PIB em %
Atlanta,1998,Sem Olimpíada,5.4,crescimento do PIB em %
Sidney,1994,Sem Olimpíada,6,crescimento do PIB em %
Sidney,1995,Sem Olimpíada,5.5,crescimento do PIB em %
Sidney,1996,Sem Olimpíada,6.4,crescimento do PIB em %
Sidney,1997,Sem Olimpíada,5.4,crescimento do PIB em %
Sidney,1998,Sem Olimpíada,5.5,crescimento do PIB em %
Sidney,1999,Sem Olimpíada,5.1,crescimento do PIB em %
Sidney,2000,Olimpíada,7.5,crescimento do PIB em %
Sidney,2001,Sem Olimpíada,6.3,crescimento do PIB em %
Sidney,2002,Sem Olimpíada,6.9,crescimento do PIB em %
Atenas,2002,Sem Olimpíada,9.7,crescimento do PIB em %
Atenas,2003,Sem Olimpíada,14.7,crescimento do PIB em %
Atenas,2004,Olimpíada,7.7,crescimento do PIB em %
Atenas,2005,Sem Olimpíada,2.4,crescimento do PIB em %
Atenas,2006,Sem Olimpíada,0,crescimento do PIB em %
