cidade,ano,ocorrencia,investimento
Seul 1988,1984,Sem Olimpíada,3.6
Seul 1988,1985,Sem Olimpíada,10
Seul 1988,1986,Sem Olimpíada,13.1
Seul 1988,1987,Ano anterior à Olimpíada,21.7
Seul 1988,1988,Olimpíada,23.3
Seul 1988,1989,Sem Olimpíada,21.3
Seul 1988,1990,Sem Olimpíada,34.2
Barcelona 1992,1989,Sem Olimpíada,17.9
Barcelona 1992,1990,Sem Olimpíada,12.1
Barcelona 1992,1991,Ano anterior à Olimpíada,6.3
Barcelona 1992,1992,Olimpíada,-9.4
Barcelona 1992,1993,Sem Olimpíada,-7.7
Barcelona 1992,1994,Sem Olimpíada,7.3
Atlanta 1996,1993,Sem Olimpíada,7.7
Atlanta 1996,1994,Sem Olimpíada,12.5
Atlanta 1996,1995,Ano anterior à Olimpíada,4.5
Atlanta 1996,1996,Olimpíada,7.8
Atlanta 1996,1997,Sem Olimpíada,10.6
Atlanta 1996,1998,Sem Olimpíada,7.9
Sidney 2000,1996,Sem Olimpíada,6
Sidney 2000,1997,Sem Olimpíada,3.2
Sidney 2000,1998,Sem Olimpíada,14.1
Sidney 2000,1999,Ano anterior à Olimpíada,7.5
Sidney 2000,2000,Olimpíada,1.3
Sidney 2000,2001,Sem Olimpíada,-1.3
Sidney 2000,2002,Sem Olimpíada,15.3
Atenas 2004,2002,Sem Olimpíada,7.5
Atenas 2004,2003,Ano anterior à Olimpíada,9.1
Atenas 2004,2004,Olimpíada,7.7
Atenas 2004,2005,Sem Olimpíada,7.7
Atenas 2004,2006,Sem Olimpíada,7.7
