cidade,crescimento,investimentos,epoca
Seul 1988,15.1,14.9,Pré-Jogos
Barcelona 1992,11.1,12.1,Pré-Jogos
Atlanta 1996,5.3,8.2,Pré-Jogos
Sidney 2000,5.6,6.7,Pré-Jogos
Atenas 1994,8.3,12.2,Pré-Jogos
Seul 1988,18.8,23.3,Olimpíadas
Barcelona 1992,7.7,-0.4,Olimpíadas
Atlanta 1996,5.7,7.8,Olimpíadas
Sidney 2000,7.5,1.3,Olimpíadas
Atenas 1994,7.7,7.7,Olimpíadas
Seul 1988,16.4,27.8,Pós-Jogos
Barcelona 1992,5,-0.2,Pós-Jogos
Atlanta 1996,5.8,9.3,Pós-Jogos
Sidney 2000,6.6,7,Pós-Jogos
Atenas 1994,7.7,2.4,Pós-Jogos
