faixa,aposentados,faixa_ampla,prop_pct
até 15 anos,1877,até 15 anos,0.04
16 anos,393,16 a 19 anos,0.01
17 anos,321,16 a 19 anos,0.01
18 anos,359,16 a 19 anos,0.01
19 anos,308,16 a 19 anos,0.01
20 anos,497,20 a 29 anos,0.01
21 anos,316,20 a 29 anos,0.01
22 anos,249,20 a 29 anos,0.01
23 anos,233,20 a 29 anos,0.01
24 anos,699,20 a 29 anos,0.02
25 anos,232746,20 a 29 anos,5.17
26 anos,134935,20 a 29 anos,3.00
27 anos,141975,20 a 29 anos,3.16
28 anos,140361,20 a 29 anos,3.12
29 anos,102779,20 a 29 anos,2.28
30 anos,814340,30 a 39 anos,18.10
31 anos,367257,30 a 39 anos,8.16
32 anos,332956,30 a 39 anos,7.40
33 anos,301787,30 a 39 anos,6.71
34 anos,229677,30 a 39 anos,5.10
35 anos,973083,30 a 39 anos,21.63
36 anos,276680,30 a 39 anos,6.15
37 anos,156294,30 a 39 anos,3.47
38 anos,94963,30 a 39 anos,2.11
39 anos,59669,30 a 39 anos,1.33
40 anos e mais,100955,40 anos e mais,2.24
Ignorado,33800,Ignorado,0.75
