data2,data,ano,posicao
2000-Jan,2000-01-01,2000,37.6
2000-Fev,2000-02-01,2000,38.4
2000-Mar,2000-03-01,2000,39.2
2000-Abr,2000-04-01,2000,28.7
2000-Mai,2000-05-01,2000,28.6
2000-Jun,2000-06-01,2000,28.3
2000-Jul,2000-07-01,2000,29.2
2000-Ago,2000-08-01,2000,31.4
2000-Set,2000-09-01,2000,31.4
2000-Out,2000-10-01,2000,30.4
2000-Nov,2000-11-01,2000,32.5
2000-Dez,2000-12-01,2000,33.0
2001-Jan,2001-01-01,2001,35.6
2001-Fev,2001-02-01,2001,35.4
2001-Mar,2001-03-01,2001,34.4
2001-Abr,2001-04-01,2001,34.7
2001-Mai,2001-05-01,2001,35.5
2001-Jun,2001-06-01,2001,37.3
2001-Jul,2001-07-01,2001,35.6
2001-Ago,2001-08-01,2001,36.3
2001-Set,2001-09-01,2001,40.1
2001-Out,2001-10-01,2001,37.5
2001-Nov,2001-11-01,2001,37.2
2001-Dez,2001-12-01,2001,35.9
2002-Jan,2002-01-01,2002,36.2
2002-Fev,2002-02-01,2002,35.9
2002-Mar,2002-03-01,2002,36.7
2002-Abr,2002-04-01,2002,33.0
2002-Mai,2002-05-01,2002,32.9
2002-Jun,2002-06-01,2002,42.0
2002-Jul,2002-07-01,2002,39.1
2002-Ago,2002-08-01,2002,37.6
2002-Set,2002-09-01,2002,38.4
2002-Out,2002-10-01,2002,35.9
2002-Nov,2002-11-01,2002,35.6
2002-Dez,2002-12-01,2002,37.8
2003-Jan,2003-01-01,2003,38.8
2003-Fev,2003-02-01,2003,38.5
2003-Mar,2003-03-01,2003,42.3
2003-Abr,2003-04-01,2003,41.5
2003-Mai,2003-05-01,2003,43.4
2003-Jun,2003-06-01,2003,48.0
2003-Jul,2003-07-01,2003,47.6
2003-Ago,2003-08-01,2003,47.8
2003-Set,2003-09-01,2003,52.7
2003-Out,2003-10-01,2003,54.1
2003-Nov,2003-11-01,2003,54.4
2003-Dez,2003-12-01,2003,49.3
2004-Jan,2004-01-01,2004,53.3
2004-Fev,2004-02-01,2004,53.0
2004-Mar,2004-03-01,2004,51.6
2004-Abr,2004-04-01,2004,50.5
2004-Mai,2004-05-01,2004,50.5
2004-Jun,2004-06-01,2004,49.8
2004-Jul,2004-07-01,2004,49.7
2004-Ago,2004-08-01,2004,49.6
2004-Set,2004-09-01,2004,49.5
2004-Out,2004-10-01,2004,49.4
2004-Nov,2004-11-01,2004,50.1
2004-Dez,2004-12-01,2004,52.9
2005-Jan,2005-01-01,2005,54.0
2005-Fev,2005-02-01,2005,59.0
2005-Mar,2005-03-01,2005,62.0
2005-Abr,2005-04-01,2005,61.6
2005-Mai,2005-05-01,2005,60.7
2005-Jun,2005-06-01,2005,59.9
2005-Jul,2005-07-01,2005,54.7
2005-Ago,2005-08-01,2005,55.1
2005-Set,2005-09-01,2005,57.0
2005-Out,2005-10-01,2005,60.2
2005-Nov,2005-11-01,2005,64.3
2005-Dez,2005-12-01,2005,53.8
2006-Jan,2006-01-01,2006,56.9
2006-Fev,2006-02-01,2006,57.4
2006-Mar,2006-03-01,2006,59.8
2006-Abr,2006-04-01,2006,56.6
2006-Mai,2006-05-01,2006,63.4
2006-Jun,2006-06-01,2006,62.7
2006-Jul,2006-07-01,2006,66.8
2006-Ago,2006-08-01,2006,71.5
2006-Set,2006-09-01,2006,73.4
2006-Out,2006-10-01,2006,78.2
2006-Nov,2006-11-01,2006,83.1
2006-Dez,2006-12-01,2006,85.8
2007-Jan,2007-01-01,2007,91.1
2007-Fev,2007-02-01,2007,101.1
2007-Mar,2007-03-01,2007,109.5
2007-Abr,2007-04-01,2007,121.8
2007-Mai,2007-05-01,2007,136.4
2007-Jun,2007-06-01,2007,147.1
2007-Jul,2007-07-01,2007,155.9
2007-Ago,2007-08-01,2007,161.1
2007-Set,2007-09-01,2007,163.0
2007-Out,2007-10-01,2007,167.9
2007-Nov,2007-11-01,2007,177.1
2007-Dez,2007-12-01,2007,180.3
2008-Jan,2008-01-01,2008,187.5
2008-Fev,2008-02-01,2008,192.9
2008-Mar,2008-03-01,2008,195.2
2008-Abr,2008-04-01,2008,195.8
2008-Mai,2008-05-01,2008,197.9
2008-Jun,2008-06-01,2008,200.8
2008-Jul,2008-07-01,2008,203.6
2008-Ago,2008-08-01,2008,205.1
2008-Set,2008-09-01,2008,206.5
2008-Out,2008-10-01,2008,197.2
2008-Nov,2008-11-01,2008,194.7
2008-Dez,2008-12-01,2008,193.8
2009-Jan,2009-01-01,2009,188.1
2009-Fev,2009-02-01,2009,186.9
2009-Mar,2009-03-01,2009,190.4
2009-Abr,2009-04-01,2009,190.5
2009-Mai,2009-05-01,2009,195.3
2009-Jun,2009-06-01,2009,201.5
2009-Jul,2009-07-01,2009,207.4
2009-Ago,2009-08-01,2009,215.7
2009-Set,2009-09-01,2009,221.6
2009-Out,2009-10-01,2009,231.1
2009-Nov,2009-11-01,2009,236.7
2009-Dez,2009-12-01,2009,238.5
2010-Jan,2010-01-01,2010,240.5
2010-Fev,2010-02-01,2010,241.1
2010-Mar,2010-03-01,2010,243.8
2010-Abr,2010-04-01,2010,247.3
2010-Mai,2010-05-01,2010,249.8
2010-Jun,2010-06-01,2010,253.1
2010-Jul,2010-07-01,2010,257.3
2010-Ago,2010-08-01,2010,261.3
2010-Set,2010-09-01,2010,275.2
2010-Out,2010-10-01,2010,284.9
2010-Nov,2010-11-01,2010,285.5
2010-Dez,2010-12-01,2010,288.6
2011-Jan,2011-01-01,2011,297.7
2011-Fev,2011-02-01,2011,307.5
2011-Mar,2011-03-01,2011,317.1
2011-Abr,2011-04-01,2011,328.1
2011-Mai,2011-05-01,2011,333.0
2011-Jun,2011-06-01,2011,335.8
2011-Jul,2011-07-01,2011,346.1
2011-Ago,2011-08-01,2011,353.4
2011-Set,2011-09-01,2011,349.7
2011-Out,2011-10-01,2011,352.9
2011-Nov,2011-11-01,2011,352.1
2011-Dez,2011-12-01,2011,352.0
2012-Jan,2012-01-01,2012,355.1
2012-Fev,2012-02-01,2012,356.3
2012-Mar,2012-03-01,2012,365.2
2012-Abr,2012-04-01,2012,374.3
2012-Mai,2012-05-01,2012,372.4
2012-Jun,2012-06-01,2012,373.9
2012-Jul,2012-07-01,2012,376.2
2012-Ago,2012-08-01,2012,377.2
2012-Set,2012-09-01,2012,378.7
2012-Out,2012-10-01,2012,377.8
2012-Nov,2012-11-01,2012,378.6
2012-Dez,2012-12-01,2012,373.1
2013-Jan,2013-01-01,2013,373.4
2013-Fev,2013-02-01,2013,373.7
2013-Mar,2013-03-01,2013,376.9
2013-Abr,2013-04-01,2013,378.7
2013-Mai,2013-05-01,2013,374.4
2013-Jun,2013-06-01,2013,369.4
2013-Jul,2013-07-01,2013,372.0
2013-Ago,2013-08-01,2013,367.0
2013-Set,2013-09-01,2013,368.7
2013-Out,2013-10-01,2013,364.5
2013-Nov,2013-11-01,2013,362.4
2013-Dez,2013-12-01,2013,358.8
2014-Jan,2014-01-01,2014,360.9
2014-Fev,2014-02-01,2014,362.7
2014-Mar,2014-03-01,2014,363.9
2014-Abr,2014-04-01,2014,366.7
2014-Mai,2014-05-01,2014,368.8
2014-Jun,2014-06-01,2014,373.5
2014-Jul,2014-07-01,2014,376.8
2014-Ago,2014-08-01,2014,379.2
2014-Set,2014-09-01,2014,375.5
2014-Out,2014-10-01,2014,375.8
2014-Nov,2014-11-01,2014,375.4
2014-Dez,2014-12-01,2014,363.6
2015-Jan,2015-01-01,2015,361.8
2015-Fev,2015-02-01,2015,362.5
2015-Mar,2015-03-01,2015,362.7
2015-Abr,2015-04-01,2015,364.5
2015-Mai,2015-05-01,2015,366.6
2015-Jun,2015-06-01,2015,368.7
2015-Jul,2015-07-01,2015,368.3
2015-Ago,2015-08-01,2015,368.2
2015-Set,2015-09-01,2015,361.4
2015-Out,2015-10-01,2015,361.2
2015-Nov,2015-11-01,2015,357.0
2015-Dez,2015-12-01,2015,356.5
2016-Jan,2016-01-01,2016,357.5
2016-Fev,2016-02-01,2016,359.4
2016-Mar,2016-03-01,2016,357.7
2016-Abr,2016-04-01,2016,362.2
2016-Mai,2016-05-01,2016,363.4
2016-Jun,2016-06-01,2016,364.2
2016-Jul,2016-07-01,2016,369.3
2016-Ago,2016-08-01,2016,369.5
