date	dilma	fatima	bonner
2015-09-05	12	1	0
2015-09-12	16	2	0
2015-09-19	11	1	0
2015-09-26	10	2	0
2015-10-03	15	2	0
2015-10-10	13	1	0
2015-10-17	11	2	0
2015-10-24	7	2	0
2015-10-31	6	1	0
2015-11-07	8	3	0
2015-11-14	21	2	0
2015-11-21	8	3	0
2015-11-28	26	2	0
2015-12-05	17	1	0
2015-12-12	13	2	0
2015-12-19	6	2	1
2015-12-26	5	1	0
2016-01-02	6	1	0
2016-01-09	5	1	0
2016-01-16	4	2	0
2016-01-23	5	1	0
2016-01-30	5	2	0
2016-02-06	4	1	0
2016-02-13	4	1	0
2016-02-20	6	1	0
2016-02-27	7	2	1
2016-03-05	12	2	0
2016-03-12	48	2	1
2016-03-19	20	2	1
2016-03-26	19	2	0
2016-04-02	15	1	0
2016-04-09	36	1	0
2016-04-16	100	1	1
2016-04-23	15	2	0
2016-04-30	17	2	0
2016-05-07	61	1	0
2016-05-14	15	1	0
2016-05-21	9	1	0
2016-05-28	7	1	0
2016-06-04	9	1	0
2016-06-11	6	2	0
2016-06-18	5	1	0
2016-06-25	7	1	0
2016-07-02	5	1	0
2016-07-09	4	1	0
2016-07-16	4	2	0
2016-07-23	4	2	0
2016-07-30	6	2	1
2016-08-06	7	1	0
2016-08-13	5	1	0
2016-08-20	9	1	0
2016-08-27	12	1	0
