date	dilma	fatima	bonner
2011-09-03	2	0	0
2011-09-10	3	0	0
2011-09-17	4	0	0
2011-09-24	3	0	0
2011-10-01	4	0	1
2011-10-08	3	0	0
2011-10-15	3	0	0
2011-10-22	3	0	0
2011-10-29	3	0	0
2011-11-05	3	0	0
2011-11-12	3	0	0
2011-11-19	3	0	0
2011-11-26	3	4	1
2011-12-03	3	5	1
2011-12-10	2	1	0
2011-12-17	2	1	0
2011-12-24	2	1	0
2011-12-31	2	1	0
2012-01-07	2	1	0
2012-01-14	2	1	0
2012-01-21	2	1	0
2012-01-28	2	1	0
2012-02-04	3	0	0
2012-02-11	2	0	0
2012-02-18	1	0	0
2012-02-25	2	1	0
2012-03-03	4	1	0
2012-03-10	2	1	0
2012-03-17	2	1	0
2012-03-24	2	1	0
2012-03-31	2	1	0
2012-04-07	3	0	0
2012-04-14	2	0	0
2012-04-21	3	0	0
2012-04-28	3	0	0
2012-05-05	3	1	0
2012-05-12	4	1	0
2012-05-19	4	1	0
2012-05-26	3	1	2
2012-06-02	2	0	0
2012-06-09	2	2	0
2012-06-16	3	2	0
2012-06-23	3	5	0
2012-06-30	2	3	0
2012-07-07	2	2	0
2012-07-14	2	1	0
2012-07-21	2	1	0
2012-07-28	2	2	0
2012-08-04	2	1	0
2012-08-11	3	2	0
2012-08-18	3	1	0
2012-08-25	2	1	0
2012-09-01	2	1	0
2012-09-08	3	1	0
2012-09-15	3	2	0
2012-09-22	3	1	0
2012-09-29	2	1	0
2012-10-06	2	1	0
2012-10-13	3	1	0
2012-10-20	2	2	0
2012-10-27	2	1	0
2012-11-03	3	1	0
2012-11-10	2	1	0
2012-11-17	3	1	0
2012-11-24	6	1	0
2012-12-01	3	1	0
2012-12-08	3	1	0
2012-12-15	2	1	0
2012-12-22	2	1	0
2012-12-29	1	1	0
2013-01-05	2	1	0
2013-01-12	2	1	0
2013-01-19	2	1	0
2013-01-26	4	2	0
2013-02-02	2	1	0
2013-02-09	1	1	0
2013-02-16	2	1	0
2013-02-23	2	1	0
2013-03-02	4	1	0
2013-03-09	3	1	0
2013-03-16	3	1	0
2013-03-23	2	2	1
2013-03-30	3	1	2
2013-04-06	3	1	1
2013-04-13	2	1	0
2013-04-20	2	1	0
2013-04-27	2	1	0
2013-05-04	3	1	0
2013-05-11	3	1	0
2013-05-18	3	1	0
2013-05-25	2	1	0
2013-06-01	2	1	0
2013-06-08	8	1	1
2013-06-15	48	1	1
2013-06-22	14	1	0
2013-06-29	6	1	0
2013-07-06	5	1	0
2013-07-13	3	1	0
2013-07-20	6	1	0
2013-07-27	6	1	0
2013-08-03	3	1	0
2013-08-10	2	1	0
2013-08-17	3	1	0
2013-08-24	3	1	0
2013-08-31	4	1	0
2013-09-07	3	1	0
2013-09-14	3	1	0
2013-09-21	5	1	0
2013-09-28	3	1	0
2013-10-05	3	1	0
2013-10-12	4	1	0
2013-10-19	3	1	1
2013-10-26	3	1	0
2013-11-02	3	1	0
2013-11-09	2	1	0
2013-11-16	3	1	0
2013-11-23	2	1	0
2013-11-30	2	1	0
2013-12-07	3	1	0
2013-12-14	2	1	0
2013-12-21	2	1	0
2013-12-28	2	1	0
2014-01-04	2	1	0
2014-01-11	2	1	0
2014-01-18	2	1	0
2014-01-25	3	1	0
2014-02-01	3	1	0
2014-02-08	3	1	0
2014-02-15	3	1	1
2014-02-22	3	2	0
2014-03-01	3	1	0
2014-03-08	4	1	0
2014-03-15	5	2	1
2014-03-22	4	1	0
2014-03-29	6	1	0
2014-04-05	4	1	0
2014-04-12	3	1	0
2014-04-19	4	2	0
2014-04-26	5	1	0
2014-05-03	5	1	0
2014-05-10	5	2	0
2014-05-17	5	1	0
2014-05-24	8	1	0
2014-05-31	6	1	0
2014-06-07	21	1	0
2014-06-14	10	1	0
2014-06-21	6	1	0
2014-06-28	6	1	0
2014-07-05	13	2	0
2014-07-12	13	1	0
2014-07-19	6	2	0
2014-07-26	7	2	0
2014-08-02	6	1	0
2014-08-09	11	1	1
2014-08-16	42	2	6
2014-08-23	14	2	3
2014-08-30	13	1	1
2014-09-06	10	2	0
2014-09-13	10	2	0
2014-09-20	13	2	0
2014-09-27	24	1	1
2014-10-04	48	1	0
2014-10-11	55	1	0
2014-10-18	62	1	1
