date	dilma	fatima	bonner
2016-08-24T00	0	0	0
2016-08-24T01	0	0	0
2016-08-24T02	0	0	0
2016-08-24T03	0	0	0
2016-08-24T04	0	0	0
2016-08-24T05	0	0	0
2016-08-24T06	0	0	0
2016-08-24T07	0	0	0
2016-08-24T08	1	0	0
2016-08-24T09	1	0	0
2016-08-24T10	1	0	0
2016-08-24T11	1	0	0
2016-08-24T12	1	0	0
2016-08-24T13	1	0	0
2016-08-24T14	1	0	0
2016-08-24T15	1	0	0
2016-08-24T16	1	0	0
2016-08-24T17	1	0	0
2016-08-24T18	1	0	0
2016-08-24T19	1	0	0
2016-08-24T20	1	0	0
2016-08-24T21	1	0	0
2016-08-24T22	1	0	0
2016-08-24T23	1	0	0
2016-08-25T00	1	0	0
2016-08-25T01	0	0	0
2016-08-25T02	0	0	0
2016-08-25T03	0	0	0
2016-08-25T04	0	0	0
2016-08-25T05	0	0	0
2016-08-25T06	0	0	0
2016-08-25T07	1	0	0
2016-08-25T08	1	0	0
2016-08-25T09	1	0	0
2016-08-25T10	1	0	0
2016-08-25T11	1	0	0
2016-08-25T12	1	0	0
2016-08-25T13	2	0	0
2016-08-25T14	1	0	0
2016-08-25T15	1	0	0
2016-08-25T16	2	0	0
2016-08-25T17	2	0	0
2016-08-25T18	2	0	0
2016-08-25T19	2	0	0
2016-08-25T20	2	0	0
2016-08-25T21	2	0	0
2016-08-25T22	2	0	0
2016-08-25T23	2	0	0
2016-08-26T00	1	0	0
2016-08-26T01	1	0	0
2016-08-26T02	0	0	0
2016-08-26T03	0	0	0
2016-08-26T04	0	0	0
2016-08-26T05	0	0	0
2016-08-26T06	1	0	0
2016-08-26T07	1	0	0
2016-08-26T08	1	0	0
2016-08-26T09	1	0	0
2016-08-26T10	1	0	0
2016-08-26T11	1	1	0
2016-08-26T12	1	0	0
2016-08-26T13	1	0	0
2016-08-26T14	1	0	0
2016-08-26T15	1	0	0
2016-08-26T16	1	0	0
2016-08-26T17	1	0	0
2016-08-26T18	1	0	0
2016-08-26T19	2	0	0
2016-08-26T20	2	0	0
2016-08-26T21	2	0	0
2016-08-26T22	2	0	0
2016-08-26T23	1	0	0
2016-08-27T00	1	0	0
2016-08-27T01	1	0	0
2016-08-27T02	0	0	0
2016-08-27T03	0	0	0
2016-08-27T04	0	0	0
2016-08-27T05	0	0	0
2016-08-27T06	0	0	0
2016-08-27T07	1	0	0
2016-08-27T08	1	0	0
2016-08-27T09	1	0	0
2016-08-27T10	1	0	0
2016-08-27T11	1	0	0
2016-08-27T12	1	0	0
2016-08-27T13	1	0	0
2016-08-27T14	1	0	0
2016-08-27T15	1	0	0
2016-08-27T16	1	0	0
2016-08-27T17	1	0	0
2016-08-27T18	1	0	0
2016-08-27T19	1	0	0
2016-08-27T20	2	0	0
2016-08-27T21	2	0	0
2016-08-27T22	2	0	0
2016-08-27T23	1	0	0
2016-08-28T00	1	0	0
2016-08-28T01	1	0	0
2016-08-28T02	0	0	0
2016-08-28T03	0	0	0
2016-08-28T04	0	0	0
2016-08-28T05	0	0	0
2016-08-28T06	0	0	0
2016-08-28T07	1	0	0
2016-08-28T08	1	0	0
2016-08-28T09	1	0	0
2016-08-28T10	1	0	0
2016-08-28T11	1	0	0
2016-08-28T12	1	0	0
2016-08-28T13	1	0	0
2016-08-28T14	1	0	0
2016-08-28T15	1	0	0
2016-08-28T16	1	0	0
2016-08-28T17	1	0	0
2016-08-28T18	1	0	0
2016-08-28T19	2	0	0
2016-08-28T20	2	0	0
2016-08-28T21	2	0	0
2016-08-28T22	2	0	0
2016-08-28T23	2	0	0
2016-08-29T00	1	0	0
2016-08-29T01	1	0	0
2016-08-29T02	0	0	0
2016-08-29T03	0	0	0
2016-08-29T04	0	0	0
2016-08-29T05	0	0	0
2016-08-29T06	1	0	0
2016-08-29T07	1	0	0
2016-08-29T08	3	0	0
2016-08-29T09	7	0	0
2016-08-29T10	11	0	0
2016-08-29T11	8	0	0
2016-08-29T12	8	0	0
2016-08-29T13	8	0	0
2016-08-29T14	8	0	0
2016-08-29T15	8	0	0
2016-08-29T16	9	0	0
2016-08-29T17	9	0	0
2016-08-29T18	9	0	0
2016-08-29T19	10	0	0
2016-08-29T20	12	0	0
2016-08-29T21	11	20	16
2016-08-29T22	10	100	68
2016-08-29T23	10	61	39
2016-08-30T00	7	28	17
2016-08-30T01	4	11	7
2016-08-30T02	2	4	3
2016-08-30T03	1	2	1
2016-08-30T04	1	2	1
2016-08-30T05	2	4	2
2016-08-30T06	3	10	6
2016-08-30T07	6	15	9
2016-08-30T08	6	18	11
2016-08-30T09	6	16	10
2016-08-30T10	6	16	10
2016-08-30T11	6	20	11
2016-08-30T12	6	19	12
2016-08-30T13	7	19	13
2016-08-30T14	6	17	11
2016-08-30T15	6	14	10
2016-08-30T16	6	14	9
2016-08-30T17	7	13	9
2016-08-30T18	7	16	11
2016-08-30T19	8	19	13
2016-08-30T20	11	26	19
2016-08-30T21	9	30	26
2016-08-30T22	8	16	13
2016-08-30T23	7	16	12
