show	rating	seasons	category
Stranger Things	9	1	science fiction
House of Cards	9	4	political thriller
The Crown	9	1	drama
Arrested Development	9	4	comedy
Black Mirror	8.9	3	drama
Narcos	8.9	2	action
Roma	8.8	1	drama
Chef's Table	8.8	2	documentary
Hip Hop Evolution	8.8	1	documentary
Making A Murderer	8.8	1	documentary
Daredevil	8.8	2	action
Better Call Saul	8.7	2	drama
La Niña	8.7	1	drama
Last Chance U	8.6	1	documentary
El Marginal	8.5	1	police/mistery
The Get Down	8.5	1	drama
Merlí	8.5	1	drama
Tales By Light	8.5	1	documentary
Trailer Park Boys	8.5	10	comedy
Sense 8	8.4	1	science fiction
Orphan Black	8.4	4	police/mistery
BoJack Horseman	8.4	3	comedy
Good Morning Call	8.3	1	kids
The Fall	8.3	3	police/mistery
Orange Is The New Black	8.3	4	drama
Gilmore Girls (Netflix only)	8.3	1	drama
The Expanse	8.2	1	science fiction
The Killing	8.2	4	police/mistery
River	8.2	1	police/mistery
Penny Dreadful	8.2	2	horror
Bloodline	8.2	2	drama
Cooked	8.2	1	documentary
Master of None	8.2	1	comedy
Grace And Frankie	8.2	2	comedy
Jessica Jones	8.2	1	action
Terrace House	8.1	2	reality show
Lilyhammer	8.1	3	police/mistery
Hibana	8.1	1	drama
Club de Cuervos	8.1	2	comedy
Derek	8.1	3	comedy
Dirk Gently's H D Agency	8.1	1	comedy
Marco Polo	8.1	2	action
Lovesick	8	2	romance
Designated Survivor	8	1	political thriller
F Is For Family	8	1	comedy
El Vato	7.9	1	drama
Unbreakable Kimmy Schmidt	7.9	2	comedy
Luke Cage	7.9	1	action
Love	7.8	1	romance
Atelier	7.8	1	drama
White Rabbit Project	7.8	1	documentary
Shooter	7.8	1	action
3%	7.7	1	science fiction
Glitch	7.7	1	science fiction
A Very Secret Service	7.7	1	comedy
Lady Dynamite	7.7	1	comedy
Chewing Gum	7.6	1	comedy
The Ranch	7.6	2	comedy
Bob & David	7.6	1	comedy
Wet Hot American Summer	7.5	1	comedy
Marcella	7.4	1	police/mistery
Cuckoo	7.4	3	comedy
Mako Mermaids	7.3	4	kids
Scream	7.3	2	police/mistery
Hemlock Grove	7.3	3	horror
Midnight Diner	7.3	1	drama
Flaked	7.3	1	drama
Degrassi	7.2	2	kids
The Returned	7.2	1	police/mistery
Fuller House	7.2	1	comedy
Stockholm	7.1	1	police/mistery
From Dusk Till Dawn	7	3	horror
Rebellion	7	1	drama
Fearless	7	1	documentary
Chelsea	7	1	comedy
Marseille	6.9	1	drama
Lost & Found	6.8	2	kids
Paranoid	6.8	1	police/mistery
Easy	6.8	1	comedy
Haters Back Off	6.4	1	comedy
Project MC2	6.3	3	kids
Shadow Hunters	6.3	1	kids
Between	5.9	2	drama
Russel Peters Vs The World	5.9	1	documentary
Captive	5.3	1	documentary
Some Assembly Required	4.8	2	kids
Pompidou	4.2	1	comedy
Richie Rich	4	2	kids
