comedy - cartoon - BoJack Horseman - rating IMDB 8.4,8.4
comedy - cartoon - F Is For Family - rating IMDB 8,8
action - historic - Narcos - rating IMDB 8.9,8.9
action - historic - Marco Polo - rating IMDB 8.1,8.1
drama - historic - The Crown - rating IMDB 9,9
drama - historic - Roma - rating IMDB 8.8,8.8
teen - kids - Mako Mermaids - rating IMDB 7.3,7.3
teen - kids - Shadow Hunters - rating IMDB 6.3,6.3
teen - kids - Some Assembly Required - rating IMDB 4.8,4.8
teen - kids - Richie Rich - rating IMDB 4,4
police - mistery - The Fall - rating IMDB 8.3,8.3
police - mistery - The Killing - rating IMDB 8.2,8.2
police - mistery - Scream - rating IMDB 7.3,7.3
action - superhero - Daredevil - rating IMDB 8.8,8.8
action - superhero - Jessica Jones - rating IMDB 8.2,8.2
action - superhero - Luke Cage - rating IMDB 7.9,7.9
action - Shooter - rating IMDB 7.8,7.8
comedy - Arrested Development - rating IMDB 9,9
comedy - Trailer Park Boys - rating IMDB 8.5,8.5
comedy - Master of None - rating IMDB 8.2,8.2
comedy - Grace And Frankie - rating IMDB 8.2,8.2
comedy - Club de Cuervos - rating IMDB 8.1,8.1
comedy - Derek - rating IMDB 8.1,8.1
comedy - Dirk Gently's H D Agency - rating IMDB 8.1,8.1
comedy - Unbreakable Kimmy Schmidt - rating IMDB 7.9,7.9
comedy - A Very Secret Service - rating IMDB 7.7,7.7
comedy - Lady Dynamite - rating IMDB 7.7,7.7
comedy - Chewing Gum - rating IMDB 7.6,7.6
comedy - The Ranch - rating IMDB 7.6,7.6
comedy - Bob & David - rating IMDB 7.6,7.6
comedy - Wet Hot American Summer - rating IMDB 7.5,7.5
comedy - Cuckoo - rating IMDB 7.4,7.4
comedy - Fuller House - rating IMDB 7.2,7.2
comedy - Easy - rating IMDB 6.8,6.8
comedy - Haters Back Off - rating IMDB 6.4,6.4
comedy - Pompidou - rating IMDB 4.2,4.2
documentary - Chef's Table - rating IMDB 8.8,8.8
documentary - Hip Hop Evolution - rating IMDB 8.8,8.8
documentary - Making A Murderer - rating IMDB 8.8,8.8
documentary - Last Chance U - rating IMDB 8.6,8.6
documentary - Tales By Light - rating IMDB 8.5,8.5
documentary - Cooked - rating IMDB 8.2,8.2
documentary - Fearless - rating IMDB 7,7
documentary - Russel Peters Vs The World - rating IMDB 5.9,5.9
documentary - Captive - rating IMDB 5.3,5.3
drama - Black Mirror - rating IMDB 8.9,8.9
drama - Better Call Saul - rating IMDB 8.7,8.7
drama - La Niña - rating IMDB 8.7,8.7
drama - The Get Down - rating IMDB 8.5,8.5
drama - Merlí - rating IMDB 8.5,8.5
drama - Orange Is The New Black - rating IMDB 8.3,8.3
drama - Gilmore Girls (Netflix only) - rating IMDB 8.3,8.3
drama - Bloodline - rating IMDB 8.2,8.2
drama - Hibana - rating IMDB 8.1,8.1
drama - El Vato - rating IMDB 7.9,7.9
drama - Atelier - rating IMDB 7.8,7.8
drama - Midnight Diner - rating IMDB 7.3,7.3
drama - Flaked - rating IMDB 7.3,7.3
drama - Rebellion - rating IMDB 7,7
drama - Between - rating IMDB 5.9,5.9
horror - Penny Dreadful - rating IMDB 8.2,8.2
horror - Hemlock Grove - rating IMDB 7.3,7.3
horror - From Dusk Till Dawn - rating IMDB 7,7
teen - Good Morning Call - rating IMDB 8.3,8.3
teen - Degrassi - rating IMDB 7.2,7.2
teen - Lost & Found - rating IMDB 6.8,6.8
teen - Project MC2 - rating IMDB 6.3,6.3
police - El Marginal - rating IMDB 8.5,8.5
police - Orphan Black - rating IMDB 8.4,8.4
police - River - rating IMDB 8.2,8.2
police - Lilyhammer - rating IMDB 8.1,8.1
police - Marcella - rating IMDB 7.4,7.4
police - The Returned - rating IMDB 7.2,7.2
police - Stockholm - rating IMDB 7.1,7.1
police - Paranoid - rating IMDB 6.8,6.8
political thriller - Marseille - rating IMDB 6.9,6.9
political thriller - House of Cards - rating IMDB 9,9
political thriller - Designated Survivor - rating IMDB 8,8
reality show - White Rabbit Project - rating IMDB 7.8,7.8
reality show - Chelsea - rating IMDB 7,7
reality show - Terrace House - rating IMDB 8.1,8.1
romance - Lovesick - rating IMDB 8,8
romance - Love - rating IMDB 7.8,7.8
science fiction - Stranger Things - rating IMDB 9,9
science fiction - Sense 8 - rating IMDB 8.4,8.4
science fiction - The Expanse - rating IMDB 8.2,8.2
science fiction - 3% - rating IMDB 7.7,7.7
science fiction - Glitch - rating IMDB 7.7,7.7
