show,category,imdb_rating
3%,science_fiction,7.7
A Very Secret Service,comedy,7.7
Arrested Development,comedy,9
Atelier,drama,7.8
Better Call Saul*,drama,8.7
Between,drama,5.9
Black Mirror,drama,8.9
Bloodline,drama,8.2
Bob & David,comedy,7.6
BoJack Horseman,comedy,8.4
Captive,documentary,5.3
Chef's Table,documentary,8.8
Chelsea,comedy,7
Chewing Gum,comedy,7.6
Club de Cuervos,comedy,8.1
Cooked,documentary,8.2
Cuckoo,comedy,7.4
Daredevil,action,8.8
Degrassi,teenager,7.2
Derek,comedy,8.1
Designated Survivor,political_thriller,8
Dirk Gently's H D Agency,comedy,8.1
Easy,comedy,6.8
El Marginal,police_mistery,8.5
El Vato,drama,7.9
F Is For Family,comedy,8
Fearless,documentary,7
Flaked,drama,7.3
From Dusk Till Dawn,horror,7
Fuller House,comedy,7.2
Gilmore Girls (Netflix only),drama,8.3
Glitch,science_fiction,7.7
Good Morning Call,teenager,8.3
Grace And Frankie,comedy,8.2
Haters Back Off,comedy,6.4
Hemlock Grove,horror,7.3
Hibana,drama,8.1
Hip Hop Evolution,documentary,8.8
House of Cards,political_thriller,9
Jessica Jones,action,8.2
La Niña,drama,8.7
Lady Dynamite,comedy,7.7
Last Chance U,documentary,8.6
Lilyhammer,police_mistery,8.1
Lost & Found,teenager,6.8
Love,romance,7.8
Lovesick,romance,8
Luke Cage,action,7.9
Making A Murderer,documentary,8.8
Mako Mermaids,teenager,7.3
Marcella,police_mistery,7.4
Marco Polo,action,8.1
Marseille,drama,6.9
Master of None,comedy,8.2
Merlí,drama,8.5
Midnight Diner,drama,7.3
Narcos,action,8.9
Orange Is The New Black,drama,8.3
Orphan Black,police_mistery,8.4
Paranoid,police_mistery,6.8
Penny Dreadful,horror,8.2
Pompidou,comedy,4.2
Project MC2,teenager,6.3
Rebellion,drama,7
Richie Rich,teenager,4
River,police_mistery,8.2
Roma,drama,8.8
Russel Peters Vs The World,documentary,5.9
Scream,police_mistery,7.3
Sense 8,science_fiction,8.4
Shadow Hunters,teenager,6.3
Shooter,action,7.8
Some Assembly Required,teenager,4.8
Stockholm,police_mistery,7.1
Stranger Things,science_fiction,9
Tales By Light,documentary,8.5
Terrace House,reality show,8.1
The Crown,drama,9
The Expanse,science_fiction,8.2
The Fall,police_mistery,8.3
The Get Down,drama,8.5
The Killing,police_mistery,8.2
The Ranch,comedy,7.6
The Returned,police_mistery,7.2
Trailer Park Boys,comedy,8.5
Unbreakable Kimmy Schmidt,comedy,7.9
Wet Hot American Summer,comedy,7.5
White Rabbit Project,documentary,7.8
