uf,ano,total
Total 10 UFs,2013-01-01,78
Total 10 UFs,2014-01-01,385
Total 10 UFs,2015-01-01,435
Total 10 UFs,2016-01-01,453
Total 10 UFs,2017-01-01,566
Total 10 UFs,2018-01-01,720
AL,2014-01-01,3
AL,2016-01-01,1
AL,2017-01-01,2
BA,2013-01-01,34
BA,2014-01-01,26
BA,2015-01-01,41
BA,2016-01-01,40
BA,2017-01-01,41
BA,2018-01-01,31
GO,2016-01-01,9
GO,2017-01-01,11
GO,2018-01-01,12
MG,2013-01-01,22
MG,2014-01-01,54
MG,2015-01-01,92
MG,2016-01-01,150
MG,2017-01-01,271
MG,2018-01-01,240
MT,2013-01-01,1
MT,2015-01-01,1
MT,2017-01-01,2
MT,2018-01-01,5
PB,2013-01-01,2
PB,2014-01-01,3
PB,2015-01-01,3
PB,2016-01-01,3
PB,2017-01-01,1
PB,2018-01-01,1
PR,2013-01-01,5
PR,2014-01-01,9
PR,2015-01-01,16
PR,2016-01-01,19
PR,2017-01-01,19
PR,2018-01-01,41
RS,2013-01-01,11
RS,2014-01-01,9
RS,2015-01-01,27
RS,2016-01-01,21
RS,2017-01-01,18
RS,2018-01-01,22
SC,2013-01-01,3
SC,2014-01-01,17
SC,2015-01-01,3
SC,2016-01-01,10
SC,2017-01-01,11
SC,2018-01-01,1
SP,2014-01-01,264
SP,2015-01-01,252
SP,2016-01-01,200
SP,2017-01-01,190
SP,2018-01-01,367
