id,cargo,bruto,liquido
41,Analista Judiciário,6558.03,2373.83
917,Analista Judiciário,13574.63,4988.77
31,Analista Judiciário,16255.35,5383.91
715,Analista Judiciário,13834.89,5508.61
858,Analista Judiciário,16040.37,5814.33
1062,Analista Judiciário,12294.91,5823.27
474,Analista Judiciário,13311.47,6268.33
553,Analista Judiciário,16201.91,6304.22
484,Analista Judiciário,17719.1,6332.21
867,Analista Judiciário,14082.24,6446.95
604,Analista Judiciário,15877.22,6493.54
373,Analista Judiciário,13338.24,6519.79
776,Analista Judiciário,12653.22,6531.13
423,Analista Judiciário,12965.84,6548.74
95,Analista Judiciário,11428.52,6550.99
247,Analista Judiciário,13428.43,6644.81
165,Analista Judiciário,14736.85,6689.66
62,Analista Judiciário,17946.19,6763.87
1041,Analista Judiciário,14240.09,6801.63
815,Analista Judiciário,15626.76,6878.02
844,Analista Judiciário,14731.28,6881.84
933,Analista Judiciário,13744.54,6907.32
857,Analista Judiciário,11073.68,6913.67
1130,Analista Judiciário,10620.27,6938.58
877,Analista Judiciário,17131.2,6960.82
1157,Analista Judiciário,16112.03,6966.82
754,Analista Judiciário,13029.64,7051.61
985,Analista Judiciário,12405.02,7124.5
962,Analista Judiciário,14405.86,7130.57
248,Analista Judiciário,15146.6,7168.38
963,Analista Judiciário,11948.86,7183.56
785,Analista Judiciário,15943.6,7209.26
786,Analista Judiciário,19568.45,7259.12
252,Analista Judiciário,16327.02,7259.21
111,Analista Judiciário,17368.74,7259.5
720,Analista Judiciário,11855.5,7265.46
97,Analista Judiciário,14368.88,7279.82
770,Analista Judiciário,15123.61,7288.28
383,Analista Judiciário,14503.78,7297.8
1042,Analista Judiciário,16759.62,7327.42
368,Analista Judiciário,11428.52,7343.75
157,Analista Judiciário,16721.15,7370.9
964,Analista Judiciário,12452.75,7385.88
956,Analista Judiciário,13063.06,7389.8
932,Analista Judiciário,12500.52,7438.21
58,Analista Judiciário,13616.35,7442.44
219,Analista Judiciário,21151.92,7497.31
229,Analista Judiciário,13977.16,7504.2
1191,Analista Judiciário,14771.42,7518.08
928,Analista Judiciário,14107.24,7532.18
693,Analista Judiciário,11911.94,7548.62
238,Analista Judiciário,17634.42,7549.85
943,Analista Judiciário,12203.38,7551.52
266,Analista Judiciário,16542,7566.61
1018,Analista Judiciário,18589.38,7591.54
350,Analista Judiciário,15104.25,7601.29
508,Analista Judiciário,13227.98,7630.12
259,Analista Judiciário,15114.58,7660.74
355,Analista Judiciário,17059.54,7675.22
610,Analista Judiciário,12735.9,7686.56
418,Analista Judiciário,12452.75,7714.95
386,Analista Judiciário,14950.97,7758.14
724,Analista Judiciário,23514.58,7761.68
954,Analista Judiciário,11428.52,7838.25
1176,Analista Judiciário,13744.54,7868.97
451,Analista Judiciário,10763.46,7869.34
393,Analista Judiciário,13684.3,7921.9
387,Analista Judiciário,12232.38,7927.25
311,Analista Judiciário,16180.94,7934.01
160,Analista Judiciário,16757.24,7942.02
1111,Analista Judiciário,11678.81,7955.79
748,Analista Judiciário,19256.05,7991.99
931,Analista Judiciário,12065.7,8022.41
70,Analista Judiciário,14929.59,8042.39
1134,Analista Judiciário,11999.34,8052.86
1036,Analista Judiciário,17483.62,8062.82
625,Analista Judiciário,13345.13,8078.14
1091,Analista Judiciário,13063.07,8090.69
1114,Analista Judiciário,13457.67,8113.72
809,Analista Judiciário,20465.6,8119.4
135,Analista Judiciário,11823.08,8130.31
757,Analista Judiciário,19184.39,8150.04
818,Analista Judiciário,20887.78,8163.81
1056,Analista Judiciário,16992.69,8163.82
293,Analista Judiciário,14662.18,8223.23
554,Analista Judiciário,23004.48,8233.46
1126,Analista Judiciário,21340.36,8233.93
316,Analista Judiciário,21064.23,8245.96
175,Analista Judiciário,11263.84,8269.87
197,Analista Judiciário,15324.37,8295.89
