região	sigla_regiao	estado	consulta_hora	parecer	uf	custo	custo_normalizado	renda	fator_normalizacao_renda	indice
Norte	N	Acre	140	1400	AC	1540	2481.0	761	0.62	2.48
Sudeste	SE	Espírito Santo	149.56	4985.5	ES	5135.06	5441.3	1157	0.94	5.44
Norte	N	Tocantins	150	600	TO	750	1065.5	863	0.70	1.07
Nordeste	NE	Sergipe	150	651.54	SE	801.54	1119.2	878	0.72	1.12
Sul	S	Rio Grande do Sul	225.6	2256	RS	2481.6	1957.8	1554	1.27	1.96
Nordeste	NE	Bahia	240	2400	BA	2640	4187.1	773	0.63	4.19
Nordeste	NE	Paraíba	278.4	1200	PB	1478.4	2294.3	790	0.64	2.29
Centro-Oeste	CO	Goiás	279	1113	GO	1392	1497.0	1140	0.93	1.50
Nordeste	NE	Pernambuco	282.02	1200	PE	1482.02	2083.7	872	0.71	2.08
Sudeste	SE	São Paulo	290.61	1995.55	SP	2286.16	1626.7	1723	1.41	1.63
Sul	S	Paraná	300	1200	PR	1500	1315.5	1398	1.14	1.32
Norte	N	Amapá	300	1000	AP	1300	1809.1	881	0.72	1.81
Sudeste	SE	Minas Gerais	300	2500	MG	2800	2939.0	1168	0.95	2.94
Nordeste	NE	Maranhão	300	1200	MA	1500	3198.3	575	0.47	3.20
Norte	N	Rondônia	300	2400	RO	2700	3673.9	901	0.73	3.67
Sul	S	Santa Catarina	350	2350	SC	2700	2270.4	1458	1.19	2.27
Norte	N	Amazonas	350	3500	AM	3850	6387.1	739	0.60	6.39
Centro-Oeste	CO	Mato Grosso do Sul	394.7	2368.2	MS	2762.9	2640.2	1283	1.05	2.64
Centro-Oeste	CO	Mato Grosso	417.36	4173.6	MT	4590.96	4941.6	1139	0.93	4.94
Nordeste	NE	Ceará	417.4	1609.6	CE	2027	3309.1	751	0.61	3.31
Nordeste	NE	Rio Grande do Norte	436.3	2181.5	RN	2617.8	3492.3	919	0.75	3.49
Nordeste	NE	Alagoas	439.23	1464.1	AL	1903.33	3524.9	662	0.54	3.52
Norte	N	Pará	525	900	PA	1425	2467.6	708	0.58	2.47
Centro-Oeste	CO	Distrito Federal	569.5	2847.45	DF	3416.95	1781.9	2351	1.92	1.78
Norte	N	Roraima	616	3766.4	RR	4382.4	5030.7	1068	0.87	5.03
Sudeste	SE	Rio de Janeiro	976.76	7228.04	RJ	8204.8	7039.2	1429	1.17	7.04
Nordeste	NE	Piauí	1200	7200	PI	8400	13786.3	747	0.61	13.79
