Ano	Brasil	China	Índia	México	Rússia	Turquia	Média	Mediana
1995	27	22	28	32	0	41	24	30
1996	30	24	26	33	26	35	29	26
1997	36	29	28	27	23	32	28	28
1998	40	35	29	33	24	34	31	33
1999	41	34	29	34	24	36	31	34
2000	39	31	28	33	21	38	30	31
2001	40	35	27	37	23	36	32	35
2002	40	35	27	36	27	32	31	32
2003	39	34	28	36	27	31	31	31
2004	39	34	28	36	28	32	32	32
2005	37	32	29	35	24	35	31	32
2006	33	33	33	33	25	38	32	33
2007	35	35	35	35	23	41	34	35
2008	35	36	34	36	21	46	35	36
2009	37	36	34	33	22	44	34	34
2010	37	35	33	31	21	44	33	33
2011	38	36	31	30	24	42	33	31
2012	43	39	36	34	28	49	37	36
2013	42	40	36	34	28	50	38	36
2014	43	36	38	35	27	45	36	36
2015	38	37	38	35	29	42	36	37
