id,value
Abel_Mesquita_Jr._(DEM_-_RR).sim.sim,1
Adail_Carneiro_(PP_-_CE).sim.sim,1
Adalberto_Cavalcanti_(PTB_-_PE).não.sim,1
Adelmo_Carneiro_Leão_(PT_-_MG).não.sim,1
Adelson_Barreto_(PR_-_SE).sim.ausente,1
Adilton_Sachetti_(PSB_-_MT).sim.sim,1
Aelton_Freitas_(PR_-_MG).não.ausente,1
Afonso_Florence_(PT_-_BA).não.sim,1
Afonso_Hamm_(PP_-_RS).sim.sim,1
Afonso_Motta_(PDT_-_RS).não.sim,1
Aguinaldo_Ribeiro_(PP_-_PB).sim.sim,1
Alan_Rick_(PRB_-_AC).sim.sim,1
Alberto_Filho_(PMDB_-_MA).sim.abstenção,1
Alberto_Fraga_(DEM_-_DF).sim.sim,1
Alceu_Moreira_(PMDB_-_RS).sim.sim,1
Alessandro_Molon_(REDE_-_RJ).não.sim,1
Alex_Canziani_(PTB_-_PR).sim.sim,1
Alex_Manente_(PPS_-_SP).sim.sim,1
Alexandre_Baldy_(PTN_-_GO).sim.ausente,1
Alexandre_Leite_(DEM_-_SP).sim.sim,1
Alexandre_Serfiotis_(PMDB_-_RJ).sim.sim,1
Alexandre_Valle_(PR_-_RJ).sim.sim,1
Alfredo_Kaefer_(PSL_-_PR).sim.abstenção,1
Alfredo_Nascimento_(PR_-_AM).sim.sim,1
Alice_Portugal_(PCdoB_-_BA).não.sim,1
Aliel_Machado_(REDE_-_PR).não.sim,1
Altineu_Côrtes_(PMDB_-_RJ).sim.sim,1
Aluisio_Mendes_(PTN_-_MA).não.sim,1
Ana_Perugini_(PT_-_SP).não.sim,1
Anderson_Ferreira_(PR_-_PE).sim.sim,1
André_Abdon_(PP_-_AP).sim.sim,1
André_De_Paula_(PSD_-_PE).sim.sim,1
André_Fufuca_(PP_-_MA).sim.não_está_em_exercício,1
Andre_Moura_(PSC_-_SE).sim.abstenção,1
Andres_Sanchez_(PT_-_SP).não.sim,1
Angelim_(PT_-_AC).não.sim,1
Aníbal_Gomes_(PMDB_-_CE).Ausente.não_está_em_exercício,1
Antonio_Brito_(PSD_-_BA).não.sim,1
Antonio_Bulhões_(PRB_-_SP).sim.sim,1
Antonio_Imbassahy_(PSDB_-_BA).sim.sim,1
Antônio_Jácome_(PTN_-_RN).sim.sim,1
Ariosto_Holanda_(PDT_-_CE).não.sim,1
Arlindo_Chinaglia_(PT_-_SP).não.sim,1
Arnaldo_Faria_De_Sá_(PTB_-_SP).sim.sim,1
Arnaldo_Jardim_(PPS_-_SP).sim.sim,1
Arnaldo_Jordy_(PPS_-_PA).sim.sim,1
Arnon_Bezerra_(PTB_-_CE).não.sim,1
Arolde_De_Oliveira_(PSC_-_RJ).sim.não_está_em_exercício,1
Arthur_Lira_(PP_-_AL).sim.não,1
Arthur_Oliveira_Maia_(PPS_-_BA).sim.sim,1
Arthur_Virgílio_Bisneto_(PSDB_-_AM).sim.sim,1
Assis_Carvalho_(PT_-_PI).não.sim,1
Assis_Do_Couto_(PDT_-_PR).não.sim,1
Átila_Lins_(PSD_-_AM).sim.sim,1
Átila_Lira_(PSB_-_PI).sim.sim,1
Augusto_Carvalho_(SD_-_DF).sim.sim,1
Augusto_Coutinho_(SD_-_PE).sim.sim,1
Aureo_(SD_-_RJ).sim.sim,1
Bacelar_(PTN_-_BA).não.sim,1
Baleia_Rossi_(PMDB_-_SP).sim.sim,1
Bebeto_(PSB_-_BA).não.sim,1
Benedita_Da_Silva_(PT_-_RJ).não.não_está_em_exercício,1
Benito_Gama_(PTB_-_BA).sim.sim,1
Benjamin_Maranhão_(SD_-_PB).sim.sim,1
Betinho_Gomes_(PSDB_-_PE).sim.sim,1
Beto_Faro_(PT_-_PA).não.sim,1
Beto_Mansur_(PRB_-_SP).sim.sim,1
Beto_Rosado_(PP_-_RN).sim.sim,1
Beto_Salame_(PP_-_PA).abstenção.sim,1
Bilac_Pinto_(PR_-_MG).sim.sim,1
Bohn_Gass_(PT_-_RS).não.sim,1
Bonifácio_De_Andrada_(PSDB_-_MG).sim.sim,1
Bruna_Furlan_(PSDB_-_SP).sim.sim,1
Brunny_(PR_-_MG).não.sim,1
Bruno_Araújo_(PSDB_-_PE).sim.não_está_em_exercício,1
Bruno_Covas_(PSDB_-_SP).sim.sim,1
Cabo_Daciolo_(PTdoB_-_RJ).sim.sim,1
Cabo_Sabino_(PR_-_CE).sim.sim,1
Cabuçu_Borges_(PMDB_-_AP).sim.sim,1
Cacá_Leão_(PP_-_BA).abstenção.ausente,1
Caetano_(PT_-_BA).não.sim,1
Caio_Narcio_(PSDB_-_MG).sim.sim,1
Capitão_Augusto_(PR_-_SP).sim.sim,1
Capitão_Fábio_Abreu_(PTB_-_PI).não.não_está_em_exercício,1
Carlos_Andrade_(PHS_-_RR).sim.não,1
Carlos_Bezerra_(PMDB_-_MT).sim.sim,1
Carlos_Gomes_(PRB_-_RS).sim.sim,1
Carlos_Henrique_Gaguim_(PTN_-_TO).sim.sim,1
Carlos_Manato_(SD_-_ES).sim.sim,1
Carlos_Marun_(PMDB_-_MS).sim.não,1
Carlos_Melles_(DEM_-_MG).sim.sim,1
Carlos_Sampaio_(PSDB_-_SP).sim.sim,1
Carlos_Zarattini_(PT_-_SP).não.sim,1
Carmen_Zanotto_(PPS_-_SC).sim.sim,1
Célio_Silveira_(PSDB_-_GO).sim.sim,1
Celso_Maldaner_(PMDB_-_SC).sim.sim,1
Celso_Pansera_(PMDB_-_RJ).não.sim,1
Celso_Russomanno_(PRB_-_SP).sim.sim,1
César_Halum_(PRB_-_TO).sim.sim,1
César_Messias_(PSB_-_AC).não.sim,1
Cesar_Souza_(PSD_-_SC).sim.não_está_em_exercício,1
Chico_Alencar_(PSOL_-_RJ).não.sim,1
Chico_D'Angelo_(PT_-_RJ).não.sim,1
Chico_Lopes_(PCdoB_-_CE).não.sim,1
Christiane_De_Souza_Yared_(PR_-_PR).sim.sim,1
Cícero_Almeida_(PMDB_-_AL).sim.não_está_em_exercício,1
Clarissa_Garotinho_(PR_-_RJ).Ausente.sim,1
Claudio_Cajado_(DEM_-_BA).sim.sim,1
Cleber_Verde_(PRB_-_MA).sim.sim,1
Conceição_Sampaio_(PP_-_AM).sim.sim,1
Covatti_Filho_(PP_-_RS).sim.sim,1
Cristiane_Brasil_(PTB_-_RJ).sim.ausente,1
Dagoberto_(PDT_-_MS).não.sim,1
Damião_Feliciano_(PDT_-_PB).não.sim,1
Dâmina_Pereira_(PSL_-_MG).sim.não,1
Daniel_Almeida_(PCdoB_-_BA).não.sim,1
Daniel_Coelho_(PSDB_-_PE).sim.sim,1
Daniel_Vilela_(PMDB_-_GO).sim.sim,1
