id	value
Abel Mesquita Jr. (DEM - RR).sim.sim	1
Adail Carneiro (PP - CE).sim.sim	1
Adalberto Cavalcanti (PTB - PE).não.sim	1
Adelmo Carneiro Leão (PT - MG).não.sim	1
Adilton Sachetti (PSB - MT).sim.sim	1
Afonso Florence (PT - BA).não.sim	1
Afonso Hamm (PP - RS).sim.sim	1
Afonso Motta (PDT - RS).não.sim	1
Aguinaldo Ribeiro (PP - PB).sim.sim	1
Alan Rick (PRB - AC).sim.sim	1
Alberto Filho (PMDB - MA).sim.abstenção	1
Alberto Fraga (DEM - DF).sim.sim	1
Alceu Moreira (PMDB - RS).sim.sim	1
Alessandro Molon (REDE - RJ).não.sim	1
Alex Canziani (PTB - PR).sim.sim	1
Alex Manente (PPS - SP).sim.sim	1
Alexandre Leite (DEM - SP).sim.sim	1
Alexandre Serfiotis (PMDB - RJ).sim.sim	1
Alexandre Valle (PR - RJ).sim.sim	1
Alfredo Nascimento (PR - AM).sim.sim	1
Alice Portugal (PCdoB - BA).não.sim	1
Aliel Machado (REDE - PR).não.sim	1
Altineu Côrtes (PMDB - RJ).sim.sim	1
Aluisio Mendes (PTN - MA).não.sim	1
Ana Perugini (PT - SP).não.sim	1
Anderson Ferreira (PR - PE).sim.sim	1
André Abdon (PP - AP).sim.sim	1
André De Paula (PSD - PE).sim.sim	1
Andre Moura (PSC - SE).sim.abstenção	1
Andres Sanchez (PT - SP).não.sim	1
Angelim (PT - AC).não.sim	1
Antonio Brito (PSD - BA).não.sim	1
Antonio Bulhões (PRB - SP).sim.sim	1
Antonio Imbassahy (PSDB - BA).sim.sim	1
Antônio Jácome (PTN - RN).sim.sim	1
Arlindo Chinaglia (PT - SP).não.sim	1
Arnaldo Faria De Sá (PTB - SP).sim.sim	1
Arnaldo Jordy (PPS - PA).sim.sim	1
Arnon Bezerra (PTB - CE).não.sim	1
Arthur Lira (PP - AL).sim.não	1
Arthur Oliveira Maia (PPS - BA).sim.sim	1
Arthur Virgílio Bisneto (PSDB - AM).sim.sim	1
Assis Carvalho (PT - PI).não.sim	1
Assis Do Couto (PDT - PR).não.sim	1
Átila Lins (PSD - AM).sim.sim	1
Átila Lira (PSB - PI).sim.sim	1
Augusto Carvalho (SD - DF).sim.sim	1
Augusto Coutinho (SD - PE).sim.sim	1
Aureo (SD - RJ).sim.sim	1
Bacelar (PTN - BA).não.sim	1
Baleia Rossi (PMDB - SP).sim.sim	1
Bebeto (PSB - BA).não.sim	1
Benito Gama (PTB - BA).sim.sim	1
Benjamin Maranhão (SD - PB).sim.sim	1
Betinho Gomes (PSDB - PE).sim.sim	1
Beto Faro (PT - PA).não.sim	1
Beto Mansur (PRB - SP).sim.sim	1
Beto Rosado (PP - RN).sim.sim	1
Beto Salame (PP - PA).abstenção.sim	1
Bilac Pinto (PR - MG).sim.sim	1
Bohn Gass (PT - RS).não.sim	1
Bonifácio De Andrada (PSDB - MG).sim.sim	1
Bruna Furlan (PSDB - SP).sim.sim	1
Brunny (PR - MG).não.sim	1
Bruno Covas (PSDB - SP).sim.sim	1
Cabo Daciolo (PTdoB - RJ).sim.sim	1
Cabo Sabino (PR - CE).sim.sim	1
Cabuçu Borges (PMDB - AP).sim.sim	1
Caetano (PT - BA).não.sim	1
Caio Narcio (PSDB - MG).sim.sim	1
Capitão Augusto (PR - SP).sim.sim	1
Carlos Andrade (PHS - RR).sim.não	1
Carlos Bezerra (PMDB - MT).sim.sim	1
Carlos Gomes (PRB - RS).sim.sim	1
Carlos Henrique Gaguim (PTN - TO).sim.sim	1
Carlos Manato (SD - ES).sim.sim	1
Carlos Marun (PMDB - MS).sim.não	1
Carlos Melles (DEM - MG).sim.sim	1
Carlos Sampaio (PSDB - SP).sim.sim	1
Carlos Zarattini (PT - SP).não.sim	1
Célio Silveira (PSDB - GO).sim.sim	1
Celso Maldaner (PMDB - SC).sim.sim	1
Celso Pansera (PMDB - RJ).não.sim	1
Celso Russomanno (PRB - SP).sim.sim	1
César Halum (PRB - TO).sim.sim	1
César Messias (PSB - AC).não.sim	1
Chico Alencar (PSOL - RJ).não.sim	1
Chico D'Angelo (PT - RJ).não.sim	1
Chico Lopes (PCdoB - CE).não.sim	1
Christiane De Souza Yared (PR - PR).sim.sim	1
Clarissa Garotinho (PR - RJ).Ausente.sim	1
Claudio Cajado (DEM - BA).sim.sim	1
Cleber Verde (PRB - MA).sim.sim	1
Conceição Sampaio (PP - AM).sim.sim	1
Covatti Filho (PP - RS).sim.sim	1
Dagoberto (PDT - MS).não.sim	1
Damião Feliciano (PDT - PB).não.sim	1
Dâmina Pereira (PSL - MG).sim.não	1
Daniel Almeida (PCdoB - BA).não.sim	1
Daniel Coelho (PSDB - PE).sim.sim	1
Daniel Vilela (PMDB - GO).sim.sim	1
Danilo Cabral (PSB - PE).sim.sim	1
Danilo Forte (PSB - CE).sim.sim	1
Danrlei De Deus Hinterholz (PSD - RS).sim.sim	1
Darcísio Perondi (PMDB - RS).sim.sim	1
Décio Lima (PT - SC).não.sim	1
Delegado Éder Mauro (PSD - PA).sim.sim	1
Delegado Edson Moreira (PR - MG).sim.abstenção	1
Delegado Waldir (PR - GO).sim.sim	1
Deley (PTB - RJ).sim.sim	1
Diego Andrade (PSD - MG).sim.sim	1
Diego Garcia (PHS - PR).sim.sim	1
Dilceu Sperafico (PP - PR).sim.sim	1
Dimas Fabiano (PP - MG).sim.sim	1
Domingos Neto (PSD - CE).não.sim	1
Domingos Sávio (PSDB - MG).sim.sim	1
Dr. João (PR - RJ).sim.sim	1
Dr. Jorge Silva (PHS - ES).sim.sim	1
Duarte Nogueira (PSDB - SP).sim.sim	1
Dulce Miranda (PMDB - TO).sim.sim	1
Edinho Araújo (PMDB - SP).sim.sim	1
Eduardo Barbosa (PSDB - MG).sim.sim	1
Eduardo Bolsonaro (PSC - SP).sim.sim	1
Eduardo Cury (PSDB - SP).sim.sim	1
Eduardo Da Fonte (PP - PE).sim.sim	1
Efraim Filho (DEM - PB).sim.sim	1
Elcione Barbalho (PMDB - PA).não.sim	1
Elizeu Dionizio (PSDB - MS).sim.sim	1
Enio Verri (PT - PR).não.sim	1
Erika Kokay (PT - DF).não.sim	1
Erivelton Santana (PEN - BA).sim.sim	1
Eros Biondini (PROS - MG).sim.sim	1
Esperidião Amin (PP - SC).sim.sim	1
Evair De Melo (PV - ES).sim.sim	1
Evandro Gussi (PV - SP).sim.sim	1
Evandro Roman (PSD - PR).sim.sim	1
Expedito Netto (PSD - RO).sim.sim	1
Fábio Faria (PSD - RN).sim.sim	1
Fabio Garcia (PSB - MT).sim.sim	1
Fábio Mitidieri (PSD - SE).não.sim	1
Fábio Ramalho (PMDB - MG).sim.sim	1
