candidato,partido,value,inst
Russomanno,PRB,31,Datafolha
Haddad,PT,8,Datafolha
Marta,PMDB,16,Datafolha
Erundina,PSOL,10,Datafolha
Dória,PSDB,5,Datafolha
Fidelix,PRTB,2,Datafolha
Major Olímpio,SD,2,Datafolha
Young,Rede,1,Datafolha
Áreas,PCO,0,Datafolha
Bico,PSDC,0,Datafolha
Altino,PSTU,0,Datafolha
branco/nulo,não carece,15,Datafolha
não opinaram,não carece,7,Datafolha
Russomanno,PRB,33,Ibope
Haddad,PT,9,Ibope
Marta,PMDB,17,Ibope
Erundina,PSOL,9,Ibope
Dória,PSDB,9,Ibope
Fidelix,PRTB,1,Ibope
Major Olímpio,SD,2,Ibope
Young,Rede,1,Ibope
Áreas,PCO,0,Ibope
Bico,PSDC,1,Ibope
Altino,PSTU,1,Ibope
branco/nulo,não carece,13,Ibope
não opinaram,não carece,4,Ibope
