"country","eltype","year","vapvt","vap","comp"
"Australia","Parliamentary","1946",91.85,4852250,"Yes"
"Australia","Parliamentary","1949",91.67,5142800,"Yes"
"Australia","Parliamentary","1951",85.24,5480150,"Yes"
"Australia","Parliamentary","1954",81.93,5661810,"Yes"
"Australia","Parliamentary","1955",78.35,5796000,"Yes"
"Australia","Parliamentary","1958",86.05,6003620,"Yes"
"Australia","Parliamentary","1961",84.56,6409880,"Yes"
"Australia","Parliamentary","1963",85.65,6549600,"Yes"
"Australia","Parliamentary","1966",84.66,6960000,"Yes"
"Australia","Parliamentary","1969",83.89,7478600,"Yes"
"Australia","Parliamentary","1972",85.35,7905600,"Yes"
"Australia","Parliamentary","1974",84.31,8937800,"Yes"
"Australia","Parliamentary","1975",84.68,9308310,"Yes"
"Australia","Parliamentary","1977",84.48,9620530,"Yes"
"Australia","Parliamentary","1980",83.97,10139550,"Yes"
"Australia","Parliamentary","1983",81.24,10919090,"Yes"
"Australia","Parliamentary","1984",84.2,11036240,"Yes"
"Australia","Parliamentary","1987",84.14,11546730,"Yes"
"Australia","Parliamentary","1990",82.09,12457450,"Yes"
"Australia","Parliamentary","1993",83.43,13065440,"Yes"
"Australia","Parliamentary","1996",82.99,13547920,"Yes"
"Australia","Parliamentary","1998",82.24,14039112,"Yes"
"Australia","Parliamentary","2001",84.2,14316998,"Yes"
"Australia","Parliamentary","2004",82.37,14999498,"Yes"
"Australia","Parliamentary","2007",82.38,15696515,"Yes"
"Australia","Parliamentary","2010",81.02,16208479,"Yes"
"Australia","Parliamentary","2013",78.86,17406251,"Yes"
"Brazil","Presidential","1945",23.96,25880400,"Yes"
"Brazil","Presidential","1950",28.36,29106560,"Yes"
"Brazil","Presidential","1955",27.48,33100650,"Yes"
"Brazil","Presidential","1960",33.43,37654200,"Yes"
"Brazil","Presidential","1989",79.36,91075840,"Yes"
"Brazil","Presidential","1994",76.85,101458500,"Yes"
"Brazil","Presidential","1998",81.03,102802554,"Yes"
"Brazil","Presidential","2002",79.12,115848256,"Yes"
"Brazil","Presidential","2006",83.57,125422653,"Yes"
"Brazil","Presidential","2010",77.29,137925708,"Yes"
"Brazil","Presidential","2014",74.72,150803268,"Yes"
"Italy","Parliamentary","1946",88.01,28346220,"Yes"
"Italy","Parliamentary","1948",93.26,28794780,"Yes"
"Italy","Parliamentary","1953",91.53,31041400,"Yes"
"Italy","Parliamentary","1958",93.92,32367060,"Yes"
"Italy","Parliamentary","1963",95.31,33328680,"Yes"
"Italy","Parliamentary","1968",93.1,35449700,"Yes"
"Italy","Parliamentary","1972",94.7,36454700,"Yes"
"Italy","Parliamentary","1976",95.43,39547710,"Yes"
"Italy","Parliamentary","1979",92.75,41093160,"Yes"
"Italy","Parliamentary","1983",91.76,42627000,"Yes"
"Italy","Parliamentary","1987",94.4,43008750,"Yes"
"Italy","Parliamentary","1992",92.34,44918610,"Yes"
"Italy","Parliamentary","1994",90.84,45641100,"No"
"Italy","Parliamentary","1996",87.35,46363590,"No"
"Italy","Parliamentary","2001",84.92,47332575,"No"
"Italy","Parliamentary","2006",82.13,47848339,"No"
"Italy","Parliamentary","2008",79.13,47961929,"No"
"Italy","Parliamentary","2013",68.33,51620536,"No"
"Mexico","Presidential","1946",21.9,10478340,"Yes"
"Mexico","Presidential","1952",29.41,12416320,"Yes"
"Mexico","Presidential","1958",51.56,14473800,"Yes"
"Mexico","Presidential","1964",56.59,16650060,"Yes"
"Mexico","Presidential","1970",65.36,21289800,"Yes"
"Mexico","Presidential","1976",57.59,29046470,"Yes"
"Mexico","Presidential","1982",65.85,35829780,"Yes"
"Mexico","Presidential","1988",41.96,45496550,"Yes"
"Mexico","Presidential","1994",65.89,53944640,"Yes"
"Mexico","Presidential","2000",59.99,62684899,"Yes"
"Mexico","Presidential","2006",63.26,66061738,"Yes"
"Mexico","Presidential","2012",64.58,76008240,"Yes"
"United States","Presidential","1948",51.09,95310150,"No"
"United States","Presidential","1952",60.31,102064300,"No"
"United States","Presidential","1956",58.29,106408890,"No"
"United States","Presidential","1960",63.06,109159000,"No"
"United States","Presidential","1964",61.92,114090000,"No"
"United States","Presidential","1968",60.84,120328186,"No"
"United States","Presidential","1972",60.92,140776000,"No"
"United States","Presidential","1976",56.92,152309190,"No"
"United States","Presidential","1980",56.54,164597000,"No"
"United States","Presidential","1984",58.39,174466000,"No"
"United States","Presidential","1988",55.93,182778000,"No"
"United States","Presidential","1992",60.08,189529000,"No"
"United States","Presidential","1996",53.44,196511000,"No"
"United States","Presidential","2000",52.62,210623408,"No"
"United States","Presidential","2004",57.07,220336019,"No"
"United States","Presidential","2008",57.47,233087000,"No"
"United States","Presidential","2012",53.58,240926957,"No"
