"country","eltype","year","vapvt","vap"
"Japan","Parliamentary","2014",51.97,102617759
"France","Parliamentary","2012",46.08,51979508
"Japan","Parliamentary","2012",59.67,103345755
"United Kingdom","Parliamentary","2001",57.56,45804132
"Canada","Parliamentary","2008",53.59,25993117
"Japan","Parliamentary","1996",60.27,96672730
"Japan","Parliamentary","2003",59.07,103577642
"France","Parliamentary","2007",43.43,48651555
"France","Parliamentary","2002",47.25,46955234
"Japan","Parliamentary","2000",59.02,103155387
"Canada","Parliamentary","2004",55.28,24751763
"Canada","Parliamentary","2011",54.16,27368468
"Canada","Parliamentary","2000",54.64,23786167
"United Kingdom","Parliamentary","2005",58.32,46554470
"Japan","Parliamentary","1986",71.53,86259320
"Canada","Parliamentary","2006",58.39,25374410
"United Kingdom","Parliamentary","2010",61.06,49116522
"United Kingdom","Parliamentary","2015",60.45,50780423
"France","Parliamentary","1988",58.14,42088500
"United States","Presidential","2012",53.58,240926957
"Canada","Parliamentary","1997",57.06,23088803
"Japan","Parliamentary","1993",66.25,95955900
"Japan","Parliamentary","2005",66.62,104373789
"Canada","Parliamentary","1953",65.38,8720790
"Japan","Parliamentary","1983",67.6,84673890
"Japan","Parliamentary","1947",65.91,42174540
"France","Parliamentary","1997",59.86,44521902
"Japan","Parliamentary","1979",68.18,79964100
"Canada","Parliamentary","2015",61.59,28512041
"Japan","Parliamentary","1969",68.63,69123900
"France","Parliamentary","1962",60.99,31018680
"France","Parliamentary","1993",61.29,43826920
"Japan","Parliamentary","2009",69.34,103833813
"Canada","Parliamentary","1980",64.53,17070530
"Canada","Parliamentary","1993",63.87,21705750
"United States","Presidential","2008",57.47,233087000
"Germany","Parliamentary","2009",64.61,68114735
"France","Parliamentary","1981",63.92,39395180
"Canada","Parliamentary","1974",64.21,15061600
"Japan","Parliamentary","1963",68.62,60416370
"United Kingdom","Parliamentary","1997",69.39,45093510
"Germany","Parliamentary","2013",66.07,67068214
"France","Parliamentary","1978",63.4,38892210
"Japan","Parliamentary","1972",73.86,71663200
"Japan","Parliamentary","1946",64.94,40932000
"United Kingdom","Parliamentary","1970",71.15,39895200
"United Kingdom","Parliamentary","1945",70.05,34427400
"United Kingdom","Parliamentary","1983",71.7,42846520
"United Kingdom","Parliamentary","1974",77.88,40298400
"Japan","Parliamentary","1990",74.95,88348250
"Japan","Parliamentary","1976",73.55,77814750
"Japan","Parliamentary","1960",71.38,55926000
"Japan","Parliamentary","1967",73.36,63522900
"Japan","Parliamentary","1949",70.59,44161200
"Japan","Parliamentary","1953",70.71,49419000
"Japan","Parliamentary","1980",74.7,80771400
"Canada","Parliamentary","1949",71.97,8202670
"Canada","Parliamentary","1957",67.9,9839430
"Italy","Parliamentary","2013",68.33,51620536
"Canada","Parliamentary","1988",68.34,19433250
"Canada","Parliamentary","1984",67.91,18611000
"United Kingdom","Parliamentary","1987",75.17,43326080
"Canada","Parliamentary","1968",68.35,12023400
"Canada","Parliamentary","1979",68.39,16860370
"Japan","Parliamentary","1955",73.59,50730000
"Canada","Parliamentary","1965",70.75,11020800
"United Kingdom","Parliamentary","1966",73.77,37026000
"United Kingdom","Parliamentary","1979",75.06,41608720
"Canada","Parliamentary","1945",70.17,7560340
"Japan","Parliamentary","1952",77.43,46170000
"United Kingdom","Parliamentary","1955",75.75,35327310
"Japan","Parliamentary","1958",72.91,54924000
"United Kingdom","Parliamentary","1964",75.13,36864840
"France","Parliamentary","1958",71.13,29560740
"Canada","Parliamentary","1972",71.27,13984000
"Germany","Parliamentary","2005",71.99,66738702
"Germany","Parliamentary","1990",73.1,64285650
"United Kingdom","Parliamentary","1992",75.36,44658460
"France","Parliamentary","1986",69.91,41104040
"Germany","Parliamentary","1949",76.46,32035480
"United Kingdom","Parliamentary","1959",77.46,35968320
"Germany","Parliamentary","1994",72.39,65942100
"Germany","Parliamentary","2002",73.46,66136352
"France","Parliamentary","1945",73.93,26588000
"France","Parliamentary","1968",69.36,32441500
"Canada","Parliamentary","1962",73.31,10602000
"France","Parliamentary","1951",68.49,28721840
"Canada","Parliamentary","1963",75.08,10599680
"Italy","Parliamentary","2008",79.13,47961929
"Canada","Parliamentary","1958",75.39,9758400
"France","Parliamentary","1967",71.14,32207500
"France","Parliamentary","1973",70.63,34405800
"Italy","Parliamentary","2001",84.92,47332575
"France","Parliamentary","1946",73.73,27416240
"United Kingdom","Parliamentary","1951",81.36,35148400
"Germany","Parliamentary","1998",75.32,66313874
"United States","Presidential","1996",53.44,196511000
"France","Parliamentary","1956",74.26,29813240
"Italy","Parliamentary","1996",87.35,46363590
"United Kingdom","Parliamentary","1950",81.59,35261100
"Italy","Parliamentary","2006",82.13,47848339
"Germany","Parliamentary","1987",75.02,50954310
"United States","Presidential","2000",52.62,210623408
"Germany","Parliamentary","1953",80.57,35346630
"Italy","Parliamentary","1994",90.84,45641100
"United States","Presidential","1988",55.93,182778000
"Germany","Parliamentary","1969",79.86,41979600
"Germany","Parliamentary","1965",80.86,41328000
"United States","Presidential","1972",60.92,140776000
"Italy","Parliamentary","1992",92.34,44918610
"Germany","Parliamentary","1961",86.86,37820300
"United States","Presidential","1984",58.39,174466000
"Germany","Parliamentary","1957",87.57,35484630
"United States","Presidential","2004",57.07,220336019
"Germany","Parliamentary","1980",81.84,46786360
"United States","Presidential","1980",56.54,164597000
"United States","Presidential","1976",56.92,152309190
"Italy","Parliamentary","1987",94.4,43008750
"Italy","Parliamentary","1983",91.76,42627000
"Italy","Parliamentary","1946",88.01,28346220
"Germany","Parliamentary","1983",80.95,48522590
"United States","Presidential","1968",60.84,120328186
"United States","Presidential","1992",60.08,189529000
"Italy","Parliamentary","1979",92.75,41093160
"Germany","Parliamentary","1976",83.84,45519620
"Germany","Parliamentary","1972",88.74,42552300
"Italy","Parliamentary","1948",93.26,28794780
"Italy","Parliamentary","1968",93.1,35449700
"Italy","Parliamentary","1963",95.31,33328680
"Italy","Parliamentary","1972",94.7,36454700
"Italy","Parliamentary","1976",95.43,39547710
"Italy","Parliamentary","1958",93.92,32367060
"Italy","Parliamentary","1953",91.53,31041400
"United States","Presidential","1964",61.92,114090000
"United States","Presidential","1952",60.31,102064300
"United States","Presidential","1956",58.29,106408890
"United States","Presidential","1948",51.09,95310150
"United States","Presidential","1960",63.06,109159000
