senador,voto1,voto2
Acir Gurgacz (PDT-RO),2,1
Aécio Neves (PSDB-MG),2,2
Aloysio Nunes Ferreira (PSDB-SP),2,2
Alvaro Dias (PV-PR),2,2
Ana Amélia (PP-RS),2,2
Angela Portela (PT-RR),1,1
Antonio Anastasia (PSDB-MG),2,2
Antonio Carlos Valadares (PSB-SE),2,1
Armando Monteiro (PTB-PE),1,1
Ataídes Oliveira (PSDB-TO),2,2
Benedito de Lira (PP-AL),2,2
Cássio Cunha Lima (PSDB-PB),2,2
Cidinho Santos (PR-MT),2,1
Ciro Nogueira (PP-PI),2,2
Cristovam Buarque (PPS-DF),2,1
Dalirio Beber (PSDB-SC),2,2
Dário Berger (PMDB-SC),2,2
Davi Alcolumbre (DEM-AP),2,2
Edison Lobão (PMDB-MA),2,1
Eduardo Amorim (PSC-SE),2,2
Eduardo Braga (PMDB-AM),2,1
Eduardo Lopes (PRB-RJ),2,2
Elmano Férrer (PTB-PI),1,1
Eunício Oliveira (PMDB-CE),2,3
Fátima Bezerra (PT-RN),1,1
Fernando Bezerra Coelho (PSB-PE),2,2
Fernando Collor (PTC-AL),2,2
Flexa Ribeiro (PSDB-PA),2,2
Garibaldi Alves Filho (PMDB-RN),2,2
Gladson Cameli (PP-AC),2,2
Gleisi Hoffmann (PT-PR),1,1
Hélio José (PMDB-DF),2,1
Humberto Costa (PT-PE),1,1
Ivo Cassol (PP-RO),2,2
Jader Barbalho (PMDB-PA),2,1
João Alberto Souza (PMDB-MA),2,1
João Capiberibe (PSB-AP),1,1
Jorge Viana (PT-AC),1,1
José Agripino (DEM-RN),2,2
José Aníbal (PSDB-SP),2,2
José Maranhão (PMDB-PB),2,2
José Medeiros (PSD-MT),2,2
José Pimentel (PT-CE),1,1
Kátia Abreu (PMDB-TO),1,1
Lasier Martins (PDT-RS),2,2
Lídice da Mata (PSB-BA),1,1
Lindbergh Farias (PT-RJ),1,1
Lúcia Vânia (PSB-GO),2,2
Magno Malta (PR-ES),2,2
Maria do Carmo Alves (DEM-SE),2,3
Marta Suplicy (PMDB-SP),2,2
Omar Aziz (PSD-AM),2,2
Otto Alencar (PSD-BA),1,1
Paulo Bauer (PSDB-SC),2,2
Paulo Paim (PT-RS),1,1
Paulo Rocha (PT-PA),1,1
Pedro Chaves (PSC-MS),2,2
Raimundo Lira (PMDB-PB),2,1
Randolfe Rodrigues (REDE-AP),1,1
Regina Sousa (PT-PI),1,1
Reguffe (S/PARTIDO-DF),2,2
Renan Calheiros (PMDB-AL),2,1
Ricardo Ferraço (PSDB-ES),2,2
Roberto Muniz (PP-BA),1,1
Roberto Requião (PMDB-PR),1,1
Roberto Rocha (PSB-MA),2,1
Romário (PSB-RJ),2,2
Romero Jucá (PMDB-RR),2,2
Ronaldo Caiado (DEM-GO),2,2
Rose de Freitas (PMDB-ES),2,1
Sérgio Petecão (PSD-AC),2,2
Simone Tebet (PMDB-MS),2,2
Tasso Jereissati (PSDB-CE),2,2
Telmário Mota (PDT-RR),2,1
Valdir Raupp (PMDB-RO),2,3
Vanessa Grazziotin (PCdoB-AM),1,1
Vicentinho Alves (PR-TO),2,1
Waldemir Moka (PMDB-MS),2,2
Wellington Fagundes (PR-MT),2,1
Wilder Morais (PP-GO),2,2
Zeze Perrella (PTB-MG),2,2
