headline,link,categoria,subcategoria,dia,mês,ano,data,datadois
Firjan manifesta apoio ao novo governo Michel Temer,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/firjan-manifesta-apoio-ao-novo-governo-michel-temer,Repercussões,Temer,12,5,2016,12/05/2016,05/12/2016
Empresários destacam convite de Temer ao diálogo e elogiam ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/firjan-destaca-em-nota-abertura-ao-dialogo-do-novo-governo-michel-temer,Repercussões,Temer,12,5,2016,12/05/2016,05/12/2016
Em ato na Paulista movimentos sociais dizem não reconhecer ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/em-ato-na-paulista-movimentos-sociais-dizem-nao-reconhecer-governo-temer,Repercussões,Protestos,12,5,2016,12/05/2016,05/12/2016
Manifestantes tentam subir rampa do Planalto e PM reage com gás ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/manifestantes-tentam-subir-rampa-do-planalto-e-pm-reage-com-gas-de-pimenta,Repercussões,Protestos,12,5,2016,12/05/2016,05/12/2016
Entidades científicas são contra o fim do Ministério da Ciência e ...,http://agenciabrasil.ebc.com.br/pesquisa-e-inovacao/noticia/2016-05/entidades-cientificas-sao-contra-fusao-dos-ministerios-de-cti-e,Repercussões,Ministros & Cargos,12,5,2016,12/05/2016,05/12/2016
Aécio Neves retorna ao Planalto e diz que PSDB é solidário a ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/aecio-neves-retorna-ao-planalto-e-diz-que-psdb-e-solidario-agenda-de,Repercussões,Cortes & Revisões,12,5,2016,12/05/2016,05/12/2016
Paes lamenta impeachment mas garante que mudança não ...,http://agenciabrasil.ebc.com.br/geral/noticia/2016-05/paes-lamenta-impeachment-mas-garante-que-mudanca-nao-prejudica-olimpiadas,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
Gilmar Mendes assume presidência do TSE e diz que país “se ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/ao-assumir-presidencia-do-tse-gilmar-mendes-diz-que-pais-se-reorientou,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
Bolsa e dólar sobem após afastamento de Dilma Rousseff,http://agenciabrasil.ebc.com.br/economia/noticia/2016-05/bolsa-e-dolar-sobem-apos-afastamento-de-dilma-rousseff,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
Joaquim Barbosa diz que impeachment está sendo feito sem ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/joaquim-barbosa-diz-que-impeachment-esta-sendo-feito-sem-consulta-populacao,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
Nem Dilma nem Temer internautas querem o bruxo Dumbledore ...,http://agenciabrasil.ebc.com.br/geral/noticia/2016-05/nem-dilma-nem-temer-internautas-querem-o-bruxo-dumbledore-como-presidente,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
Governo argentino diz que respeita "processo institucional" no Brasil,http://agenciabrasil.ebc.com.br/internacional/noticia/2016-05/governo-argentino-comunica-que-respeita-processo-institucional-no,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
Senador Randolfe Rodrigues diz que impeachment ainda não está ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/senador-do-amapa-diz-que-impeachment-ainda-nao-esta-definido,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
Impeachment é "condenação do povo brasileiro" diz Walter Pinheiro,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/impeachment-e-condenacao-do-povo-brasileiro-diz-walter-pinheiro,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
Humberto Costa: PT passará para a oposição mas "sem incendiar o ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/humberto-costa-pt-passara-para-oposicao-mas-sem-incendiar-o-pais,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
Serra considera impeachment "remédio amargo" mas necessário,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/serra-considera-impeachment-remedio-amargo-mas-necessario,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
É um momento difícil para o Brasil diz Pezão,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/e-um-momento-dificil-para-o-brasil-diz-pezao,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
Secretário-geral da ONU pede calma e diálogo à sociedade brasileira,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/secretario-geral-da-onu-acompanha-acontecimentos-politicos-no-brasil,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
Em vídeo nas redes sociais Dilma diz que governo sem voto não ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/em-video-nas-redes-sociais-dilma-diz-que-governo-sem-voto-nao-sera,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
Unasul diz que afastamento de Dilma abre precedente perigoso,http://agenciabrasil.ebc.com.br/internacional/noticia/2016-05/unasul-diz-que-afastamento-de-dilma-abre-precedente-perigoso,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
Dólar abre com leve alta cotado a R$ 3454,http://agenciabrasil.ebc.com.br/economia/noticia/2016-05/dolar-abre-com-leve-alta-e-custa-r-3454,Repercussões,Impeachment,12,5,2016,12/05/2016,05/12/2016
Ato em Fortaleza presta solidariedade a Dilma e protesta contra ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-05/ato-em-fortaleza-presta-solidariedade-dilma-e-protesta-contra-impeachment,Repercussões,Protestos,12,5,2016,12/05/2016,05/12/2016
