verbete	handle
Paulo Rocha (político)	@SenadoFederal 
Paulo Rocha (político)	@SenadoFederal 
Aeroporto de Vilhena	@SERPRO 
Vímana (banda)	@CamaraDeputados 
Aviação Naval Brasileira	@TelebrasBR 
Banda de Ipanema	@MinSaude 
Curaçao	@SERPRO 
Zhengtong / Tianshun	@Caixa 
Gigante	@MinSaude 
Partido Novo	@MPF_PGR 
List of postal codes in Brazil	@SERPRO 
Tottenham Hotspur Football Club	@Caixa 
Congonhas	@SERPRO 
André Fernandes (jornalista)	@AdvocaciaGeral 
Abusado - O Dono do Morro Dona Marta	@AdvocaciaGeral 
Need for Speed: Underground	@MPF_PGR 
Paulo Victor Mileo Vidotti	@MPF_PGR 
Paulo Victor Mileo Vidotti	@MPF_PGR 
Fanáutico	@Caixa 
The Grim Adventures of Billy and Mandy	@SERPRO 
Evolução do PIB do Brasil	@CamaraDeputados 
Alessandro Zanardi	@ImprensaBNB 
Zoë Saldaña	@TelebrasBR 
Lista de prefeitos de Viçosa (Alagoas)	@MPF_PGR 
Lista de vereadores de Viçosa (Alagoas)	@MPF_PGR 
Henrique Eduardo Alves	@MTurismo 
Henrique Eduardo Alves	@MTurismo 
Ministry of Tourism (Brazil)	@MTurismo 
ISO/IEC 17799	@SERPRO 
Lista de centros acadêmicos no Brasil	@MPF_PGR 
Nilmar	@Dataprev 
Absolut Vodka	@SERPRO 
Daniel Alves	@Inep_Imprensa 
Nanny McPhee	@Caixa 
Domingo Legal	@TelebrasBR 
Chrysler do Brasil	@TelebrasBR 
Fiat Prêmio	@Caixa 
TV Senado	@SenadoFederal 
TV Senado	@SenadoFederal 
TV Senado	@SenadoFederal 
TV Senado	@SenadoFederal 
Virtual private network	@Caixa 
AESP-14	@INPE_MCT 
Brainstorming	@BancodoBrasil 
Mesorregião Metropolitana de Fortaleza	@SERPRO 
Justin Theroux	@ComunicacoesBR 
Justin Theroux	@TelebrasBR 
Metamorfoses	@Caixa 
Myanmar	@MEC_Comunicacao 
Mastoidite	@MPF_PGR 
Anhembi	@TrabalhoGovBR 
Usina Hidrelétrica de Belo Monte	@TelebrasBR 
Angra (banda)	@ImprensaBNB 
Argel Fucks	@SERPRO 
Secretaria de Relações Institucionais	@AgoraNoPlanalto
Secretaria de Relações Institucionais	@AgoraNoPlanalto
Dmitri Mendeleiev	@Caixa 
Tubular bells	@BancodoBrasil 
Visão religiosa de Adolf Hitler	@Codevasf 
Phablet	@Caixa 
Ultimate Fighting Championship	@SenadoFederal 
Desciclopédia	@Caixa 
Taekwondo do Brasil	@SERPRO 
Aegisub	@Caixa 
Poder Legislativo do Brasil	@SenadoFederal 
Prof. Dr. João Carlos Medeiros de Aragão	@SenadoFederal 
Franciszek Gajowniczek	@SERPRO 
Parotidite infecciosa	@Caixa 
Liberland	@Caixa 
Dia das bruxas	@MPF_PGR 
Dia das bruxas	@MPF_PGR 
Eros	@Caixa 
Eros	@Caixa 
Zygmunt Bauman	@TelebrasBR 
1945	@Caixa 
Da Paz	@TelebrasBR 
Da Paz	@TelebrasBR 
Da Paz	@TelebrasBR 
Fiat Marea	@AgenciaPF 
Tráfico de escravos para o Brasil	@TST_Oficial 
Marcus Lemonis	@SERPRO 
Cicada 3301	@MEC_Comunicacao 
Santa Vitória do Palmar	@AgenciaPF 
Jayme Gilberto	@Caixa 
Fundo de investimento	@ImprensaBNB 
17 de junho	@Caixa 
Jorge Lapas	@Caixa 
Ironia	@MPF_PGR 
Companhia Telefônica Brasileira	@SenadoFederal 
Companhia Estadual de Telefones da Guanabara	@SenadoFederal 
Aermacchi MB-339	@TelebrasBR 
Sóstenes Cavalcante	@CamaraDeputados 
Aléxis Tsípras	@Caixa 
O Último Cine Drive-in	@CamaraDeputados 
DataSenado	@SenadoFederal 
Programação neurolinguística	@Caixa 
World Jiu-Jitsu Championship	@Conab_2015 
World Jiu-Jitsu Championship	@SERPRO 
Gianna Beretta Molla	@Caixa 
Companhia Nacional de Abastecimento	@SERPRO 
Madagascar (filme)	@INPE_MCT 
Madagascar (filme)	@INPE_MCT 
Madagascar (filme)	@INPE_MCT 
Terra Nova (Bahia)	@TSEJusBR 
Terra Nova (Bahia)	@TSEJusBR 
Willem Dafoe	@CorreiosBR
Terra Nova (Bahia)	@TSEJusBR 
Comitê Multidisciplinar Independente	@CamaraDeputados 
Guerra Civil Portuguesa	#aneel
Guerra Civil Portuguesa	@SERPRO 
Guerra Civil Portuguesa	#aneel
Guerra Civil Portuguesa	@SERPRO 
Rebecca Ferguson	@ImprensaBNB 
Pacificadores	@SERPRO 
2015 Červený Kameň mid-air collision	@MinSaude 
Graveola e o Lixo Polifônico	@Caixa 
WildFly	@SERPRO 
Pregibaé	@Caixa 
Pregibaé	@Caixa 
Ipupiara	@CorreiosBR
Fluido supercrítico	@TelebrasBR 
Paula	@BancodoBrasil 
Graveola e o Lixo Polifônico	@Caixa 
Cunha Neto	@MEC_Comunicacao 
Fairfax Media	@SERPRO 
Caixa Econômica Federal	@Caixa 
TV Morena	@Caixa 
Dada mitinguel	@Caixa 
Quebec	@MPF_PGR 
Solar eclipses on Jupiter	@Caixa 
Campeonato Brasileiro de Futebol de 2015 - Série A	@Caixa 
Campeonato Brasileiro de Futebol de 2015 - Série A	@Caixa 
Red Cherry	@TrabalhoGovBR 
Pierre Joseph Desault	#aneel
